#txns,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
1024,0.181232,1.925732,0.302861,C,C,C
2048,0.36319,2.363414,6.519439,C,C,C
4096,0.712107,4.2202,580.216359,C,C,C
8192,1.380604,7.042287,DNF,C,C,N/A
16384,2.745169,10.743976,DNR,C,C,DNR
32768,6.111818,21.949509,DNR,I,I,DNR
65536,12.71488,54.27793,DNR,C,C,DNR
131072,27.246236,214.805356,DNR,C,C,DNR
262144,63.428039,DNF,DNR,C,N/A,DNR
1024,0.210535,1.69369,0.22448,C,C,C
2048,0.342727,2.601619,7.251729,C,C,C
4096,0.64195,4.119179,324.397243,C,C,C
8192,1.225945,6.302019,DNF,C,C,N/A
16384,2.631855,10.044414,DNR,C,C,DNR
32768,5.571652,26.077338,DNR,C,C,DNR
65536,11.514406,67.528995,DNR,C,C,DNR
131072,23.824169,237.758245,DNR,C,C,DNR
262144,53.177908,DNF,DNR,C,N/A,DNR
1024,0.04358,0.963184,0.064625,C,C,C
2048,0.075354,1.424957,0.702111,C,C,C
4096,0.131336,2.180732,38.485521,C,C,C
8192,0.184557,2.865356,DNF,C,C,N/A
16384,0.387758,4.521001,DNR,C,C,DNR
32768,0.769639,6.985143,DNR,C,C,DNR
65536,1.751245,13.261675,DNR,C,C,DNR
131072,3.840506,27.96175,DNR,C,C,DNR
262144,9.022181,90.896548,DNR,C,C,DNR
1024,0.030664,0.849612,0.118399,C,C,C
2048,0.056217,1.302301,5.432825,C,C,C
4096,0.095675,1.8603,152.53737,C,C,C
8192,0.163383,2.976537,DNF,C,C,N/A
16384,0.288247,4.055126,DNR,C,C,DNR
32768,0.533656,7.674971,DNR,C,C,DNR
65536,1.167164,18.06724,DNR,C,C,DNR
131072,2.632717,70.177358,DNR,C,C,DNR
262144,6.064181,207.663125,DNR,C,C,DNR
1024,0.031446,0.866096,0.141511,C,C,C
2048,0.055123,1.417855,1.175436,C,C,C
4096,0.109869,1.958413,127.703716,C,C,C
8192,0.177452,2.543092,DNF,C,C,N/A
16384,0.316098,4.472449,DNR,C,C,DNR
32768,0.61333,6.609808,DNR,C,C,DNR
65536,1.316025,12.283704,DNR,C,C,DNR
131072,3.12557,35.677407,DNR,C,C,DNR
262144,6.861992,187.498507,DNR,C,C,DNR
1024,0.020169,0.837997,0.058915,C,C,C
2048,0.066245,1.474088,1.728938,C,C,C
4096,0.095051,1.760502,98.538909,C,C,C
8192,0.133646,2.769704,DNF,C,C,N/A
16384,0.294502,4.169371,DNR,C,C,DNR
32768,0.702761,7.475136,DNR,C,C,DNR
65536,1.60753,25.830341,DNR,C,C,DNR
131072,4.144261,115.88432,DNR,C,C,DNR
262144,9.871716,547.583041,DNR,C,C,DNR
1024,0.03604,0.95445,0.229702,C,C,C
2048,0.056045,1.47822,7.543601,C,C,C
4096,0.08418,2.075336,211.937432,C,C,C
8192,0.179308,3.014437,DNF,C,C,N/A
16384,0.3224,4.379766,DNR,C,C,DNR
32768,0.639894,6.876837,DNR,C,C,DNR
65536,1.286268,16.472265,DNR,C,C,DNR
