#txns,ours (s),plume (s),ours (res),plume (res)
1024,0.014197,0.896311,C,C
2048,0.0434,1.214945,C,C
4096,0.040462,1.607868,C,C
8192,0.125559,2.18241,C,C
16384,0.201899,2.956401,C,C
32768,0.387559,5.835637,C,C
65536,0.784042,10.531526,C,C
131072,1.736753,32.522657,C,C
262144,3.841522,137.678532,C,C
1024,0.024344,0.839892,C,C
2048,0.029243,1.176015,C,C
4096,0.07122,1.528768,C,C
8192,0.111229,2.276893,C,C
16384,0.193225,2.971968,C,C
32768,0.334512,7.70471,C,C
65536,0.658725,27.945694,C,C
131072,1.307512,165.13735,C,C
262144,2.685619,DNF,C,N/A
1024,0.025727,0.839629,C,C
2048,0.042608,1.200087,C,C
4096,0.075401,1.542511,C,C
8192,0.115542,2.526805,C,C
16384,0.206064,4.126695,C,C
32768,0.354749,11.50639,C,C
65536,0.648866,31.624232,C,C
131072,1.289802,147.469262,C,C
262144,2.633843,399.112711,C,C
1024,0.025621,1.023173,C,C
2048,0.045214,1.152514,C,C
4096,0.069233,1.701184,C,C
8192,0.096646,2.199385,C,C
16384,0.201623,3.251593,C,C
32768,0.354659,5.752162,C,C
65536,0.668757,10.48309,C,C
131072,1.385203,33.171317,C,C
262144,2.800132,184.218451,C,C
1024,0.025082,0.96756,C,C
2048,0.042762,1.1973,C,C
4096,0.074713,1.745438,C,C
8192,0.119424,2.285789,C,C
16384,0.206387,3.041475,C,C
32768,0.366468,6.403484,C,C
65536,0.784455,19.833195,C,C
131072,1.695814,85.705255,C,C
262144,3.750672,DNF,C,N/A
1024,0.024186,0.986254,C,C
2048,0.043646,1.21567,C,C
4096,0.075003,1.564904,C,C
8192,0.115013,2.262101,C,C
16384,0.189819,3.121756,C,C
32768,0.392367,6.710095,C,C
65536,0.802057,24.716454,C,C
131072,1.727659,116.720212,C,C
262144,3.831483,570.564231,C,C
1024,0.02557,0.866141,C,C
2048,0.042385,1.199869,C,C
4096,0.076107,1.696413,C,C
8192,0.123713,2.329608,C,C
16384,0.166977,3.522963,C,C
32768,0.320804,5.435917,C,C
65536,0.670159,13.625356,C,C
131072,1.277016,33.215334,C,C
262144,2.632416,217.843037,C,C
1024,0.021705,0.883306,C,C
2048,0.039837,1.210767,C,C
4096,0.067322,1.535511,C,C
8192,0.113667,2.430371,C,C
16384,0.190636,3.524805,C,C
32768,0.324141,6.192346,C,C
65536,0.573287,15.728924,C,C
131072,1.178009,64.363347,C,C
262144,2.328335,195.308013,C,C
1024,0.022119,0.749569,C,C
2048,0.03598,1.161949,C,C
4096,0.06311,1.487897,C,C
8192,0.110157,2.405235,C,C
16384,0.189404,4.625656,C,C
32768,0.324045,11.76147,C,C
65536,0.573332,51.100302,C,C
131072,1.175807,217.823584,C,C
262144,2.374609,DNF,C,N/A
1024,0.116514,1.774375,C,C
2048,0.17761,2.270976,C,C
4096,0.276727,3.909153,C,C
8192,0.590222,5.262119,C,C
16384,1.18004,9.271913,C,C
32768,2.430116,17.126708,I,I
65536,5.129825,66.442416,C,C
131072,10.427455,136.755032,C,C
262144,21.528196,595.252284,C,C
1024,0.105165,1.793323,C,C
2048,0.171056,2.371272,I,I
4096,0.344541,3.631491,C,C
8192,0.614183,5.686253,C,C
16384,1.32953,9.352455,I,I
32768,2.68449,16.959407,C,C
65536,5.674638,39.346567,C,C
131072,12.134671,109.309925,C,C
262144,24.236352,362.817832,C,C
1024,0.121472,1.878332,C,C
2048,0.179042,2.46802,C,C
4096,0.348172,3.641448,C,C
8192,0.574737,5.957681,C,C
16384,1.26592,10.477414,C,C
32768,2.54309,20.347889,C,C
65536,5.445214,53.706681,C,C
131072,11.654526,178.616407,C,C
262144,22.847132,DNF,C,N/A
1024,0.018236,0.863556,C,C
2048,0.040674,1.106032,C,C
4096,0.066441,1.565796,C,C
8192,0.100912,2.274414,C,C
16384,0.194015,3.031674,C,C
32768,0.378334,5.580495,C,C
65536,0.777828,9.664275,C,C
131072,1.709522,32.609876,C,C
262144,3.831931,92.128971,C,C
1024,0.10682,1.55591,C,C
2048,0.182678,2.470501,C,C
4096,0.305785,3.674772,C,C
8192,0.562617,5.487315,C,C
16384,1.151699,9.909114,C,C
32768,2.40878,24.359451,C,C
65536,4.989661,77.463393,C,C
131072,9.967693,232.600382,C,C
262144,20.27102,DNF,C,N/A
1024,0.025582,0.82629,C,C
2048,0.044444,1.18341,C,C
4096,0.072684,1.638274,C,C
8192,0.124981,2.238819,C,C
16384,0.209492,3.205953,C,C
32768,0.364422,5.331298,C,C
65536,0.67057,9.930619,C,C
131072,1.290543,19.04731,C,C
262144,2.653587,64.297056,C,C
1024,0.109159,1.639908,C,C
2048,0.161822,2.297739,C,C
4096,0.345474,3.928795,C,C
8192,0.633636,6.10331,C,C
16384,1.239451,9.793738,C,C
32768,2.571072,19.90685,I,I
65536,5.451833,62.05453,C,C
131072,11.365016,209.023254,C,C
262144,22.891623,550.77206,C,C
1024,0.1303,1.884953,C,C
2048,0.185344,2.392675,C,C
4096,0.359245,3.792269,C,C
8192,0.693833,5.700498,C,C
16384,1.2937,10.495065,C,C
32768,2.764473,22.555583,C,C
65536,5.925648,55.44313,C,C
131072,12.479173,142.081608,C,C
262144,25.701922,537.381589,C,C
1024,0.02556,0.866791,C,C
2048,0.045519,1.227956,C,C
4096,0.081245,1.655905,C,C
8192,0.100266,2.222189,C,C
16384,0.205033,2.998678,C,C
32768,0.361363,4.835978,C,C
65536,0.664083,8.816674,C,C
131072,1.283912,16.331501,C,C
262144,2.625647,36.291178,C,C
