database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
cockroachdb,twitter,49912,10,349088,48797,0.480572,9.413461,C,C
cockroachdb,twitter,49787,20,348236,48191,0.577446,8.286935,C,C
cockroachdb,twitter,49703,30,346672,48631,0.649319,11.108137,C,C
cockroachdb,twitter,49649,40,343584,48403,0.699349,14.111633,C,C
cockroachdb,twitter,49512,50,345332,48532,0.752224,12.637184,C,C
cockroachdb,twitter,49473,60,345449,48168,0.800221,14.604996,C,C
cockroachdb,twitter,49304,70,345437,48130,0.843126,12.647884,C,C
cockroachdb,twitter,49276,80,344531,47988,0.89566,10.046639,C,C
cockroachdb,twitter,49204,90,344112,47841,0.931065,11.834721,C,C
cockroachdb,twitter,49024,100,343521,48089,0.965408,16.675026,C,C
cockroachdb,tpcc,87311,10,2802908,602406,3.838087,26.935797,C,C
cockroachdb,tpcc,88850,20,2799594,586501,4.431901,30.207324,C,C
cockroachdb,tpcc,87697,30,2741381,574153,1.429816,DNF,I,N/A
cockroachdb,tpcc,88028,40,2709111,563046,5.275868,32.539352,C,C
cockroachdb,tpcc,85538,50,2622335,549404,5.592392,35.178443,C,C
cockroachdb,tpcc,87266,60,2622739,539738,6.168386,37.856431,C,C
cockroachdb,tpcc,84903,70,2549459,529933,6.175651,44.193109,C,C
cockroachdb,tpcc,84910,80,2516729,520034,6.84954,32.039372,C,C
cockroachdb,tpcc,85513,90,2509820,512998,6.812521,33.05179,C,C
cockroachdb,tpcc,84130,100,2445652,501054,7.160805,35.774116,C,C
rocksdb,rubis,48477,10,292733,45939,0.378381,7.10769,C,C
rocksdb,rubis,47007,20,281030,45674,0.433376,8.438498,C,C
rocksdb,rubis,45794,30,272468,45784,0.48747,8.133469,C,C
rocksdb,rubis,44961,40,267262,44974,0.540378,7.94041,C,C
rocksdb,rubis,45342,50,271524,44691,0.587627,13.108024,C,C
rocksdb,rubis,45666,60,273845,44974,0.627642,17.469327,C,C
rocksdb,rubis,45753,70,274881,44807,0.676867,17.888343,C,C
rocksdb,rubis,45701,80,275456,44755,0.72698,22.876933,C,C
rocksdb,rubis,45637,90,274603,44795,0.756915,26.882857,C,C
rocksdb,rubis,45753,100,274843,44674,0.805597,31.012979,C,C
rocksdb,tpcc,84061,10,2711625,590375,3.633752,26.462485,C,C
rocksdb,tpcc,81654,20,2639767,575753,4.132649,34.890684,C,C
rocksdb,tpcc,78853,30,2532605,554636,4.499944,33.77275,C,C
rocksdb,tpcc,78531,40,2502584,539404,4.819625,35.234089,C,C
rocksdb,tpcc,76306,50,2417230,525459,5.008487,35.834167,C,C
rocksdb,tpcc,76415,60,2402817,514098,5.365987,39.927764,C,C
rocksdb,tpcc,76301,70,2361326,501676,5.662602,37.45029,C,C
rocksdb,tpcc,72906,80,2284133,490284,5.805569,40.301791,C,C
rocksdb,tpcc,74491,90,2297134,484483,6.241894,48.142236,C,C
rocksdb,tpcc,72687,100,2233514,472090,6.39017,48.960663,C,C
postgres,twitter,49906,10,348878,48328,0.472208,9.104849,C,C
postgres,twitter,49778,20,350981,48843,0.583201,8.188179,C,C
postgres,twitter,49673,30,345599,48513,0.637313,9.062521,C,C
postgres,twitter,49619,40,346707,48440,0.705863,9.230427,C,C
postgres,twitter,49570,50,347398,48927,0.759434,9.725974,C,C
postgres,twitter,49443,60,347035,48259,0.80008,9.267287,C,C
postgres,twitter,49293,70,344825,48083,0.834484,9.140808,C,C
postgres,twitter,49216,80,345691,48131,0.889641,10.232868,C,C
postgres,twitter,49124,90,344489,47928,0.92633,9.202894,C,C
postgres,twitter,49027,100,343044,47640,0.95133,9.860578,C,C
postgres,tpcc,87076,10,2776149,595568,3.775455,28.943668,C,C
postgres,tpcc,86111,20,2693424,571919,4.25145,27.761341,C,C
postgres,tpcc,85932,30,2652622,555595,4.911598,28.357107,I,I
postgres,tpcc,85173,40,2575131,534840,5.064604,27.124112,I,I
postgres,tpcc,84858,50,2519399,519947,5.500609,30.721868,C,C
postgres,tpcc,83737,60,2481155,511883,5.523177,39.901425,C,C
postgres,tpcc,82470,70,2403166,494669,5.806475,28.178935,C,C
postgres,tpcc,83133,80,2391637,483579,6.011095,30.034242,C,C
postgres,tpcc,82659,90,2337635,472417,6.188923,28.12899,C,C
postgres,tpcc,80099,100,2269541,465143,6.382281,31.855011,C,C
rocksdb,twitter,49718,10,344621,48378,0.458143,7.613256,C,C
rocksdb,twitter,49476,20,339548,48864,0.555425,8.694364,C,C
rocksdb,twitter,49231,30,335702,48720,0.618116,8.105805,C,C
rocksdb,twitter,48834,40,328358,48615,0.670141,8.423059,C,C
rocksdb,twitter,47618,50,307082,48295,0.652114,9.838677,C,C
rocksdb,twitter,47049,60,300340,48520,0.659654,10.570298,C,C
rocksdb,twitter,46877,70,299909,48174,0.702281,12.703452,C,C
rocksdb,twitter,46489,80,294692,48050,0.693014,13.710063,C,C
rocksdb,twitter,46477,90,295411,48014,0.776857,15.137976,C,C
rocksdb,twitter,46120,100,290779,47660,0.777609,15.003577,C,C
postgres,rubis,49762,10,302778,45927,0.377823,8.598099,C,C
postgres,rubis,49587,20,301849,45906,0.481527,7.727243,C,C
postgres,rubis,49371,30,300814,45531,0.554807,8.71692,C,C
postgres,rubis,49195,40,300302,44913,0.611689,8.435683,C,C
postgres,rubis,49046,50,299442,44833,0.637262,8.717922,C,C
postgres,rubis,48856,60,298471,44719,0.708299,8.696589,C,C
postgres,rubis,48706,70,298698,44574,0.778951,8.795389,C,C
postgres,rubis,48593,80,297479,44872,0.816309,9.60207,C,C
postgres,rubis,48476,90,296881,44731,0.860814,9.619252,C,C
postgres,rubis,48403,100,297615,44245,0.907548,9.560068,C,C
cockroachdb,rubis,50000,10,303496,45612,0.387866,7.659902,C,C
cockroachdb,rubis,49910,20,303452,46197,0.451633,7.438342,C,C
cockroachdb,rubis,49738,30,302216,45767,0.546447,9.050125,C,C
cockroachdb,rubis,49259,40,301296,45319,0.613065,10.160732,C,C
cockroachdb,rubis,49032,50,299392,44875,0.683409,11.398308,C,C
cockroachdb,rubis,48980,60,299275,44874,0.721447,13.845079,C,C
cockroachdb,rubis,48900,70,298904,44834,0.785126,15.790531,C,C
cockroachdb,rubis,48783,80,298104,44755,0.807742,18.342786,C,C
cockroachdb,rubis,48775,90,298761,44991,0.866413,20.946078,C,C
cockroachdb,rubis,48728,100,298425,45039,0.882189,20.651595,C,C
