database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
postgres,rubis,49762,10,302778,45927,0.225273,7.651491,C,C
postgres,rubis,49587,20,301849,45906,0.218693,6.622107,C,C
postgres,rubis,49371,30,300814,45531,0.230586,7.23422,C,C
postgres,rubis,49195,40,300302,44913,0.227425,6.659639,C,C
postgres,rubis,49046,50,299442,44833,0.200967,6.623426,C,C
postgres,rubis,48856,60,298471,44719,0.227385,7.163629,C,C
postgres,rubis,48706,70,298698,44574,0.181569,6.860108,C,C
postgres,rubis,48593,80,297479,44872,0.228279,7.439521,C,C
postgres,rubis,48476,90,296881,44731,0.225853,6.668222,C,C
postgres,rubis,48403,100,297615,44245,0.229046,6.389544,C,C
rocksdb,tpcc,84061,10,2711625,590375,2.137426,26.043487,C,C
rocksdb,tpcc,81654,20,2639767,575753,2.101408,33.788223,C,C
rocksdb,tpcc,78853,30,2532605,554636,1.95633,30.629305,C,C
rocksdb,tpcc,78531,40,2502584,539404,1.954207,31.949925,C,C
rocksdb,tpcc,76306,50,2417230,525459,1.795036,34.984652,C,C
rocksdb,tpcc,76415,60,2402817,514098,1.747508,36.5389,C,C
rocksdb,tpcc,76301,70,2361326,501676,1.71684,36.740796,C,C
rocksdb,tpcc,72906,80,2284133,490284,1.66911,37.07757,C,C
rocksdb,tpcc,74491,90,2297134,484483,1.580718,45.620306,C,C
rocksdb,tpcc,72687,100,2233514,472090,1.542623,45.662664,C,C
rocksdb,rubis,48477,10,292733,45939,0.229123,6.03237,C,C
rocksdb,rubis,47007,20,281030,45674,0.197417,6.558896,C,C
rocksdb,rubis,45794,30,272468,45784,0.191026,6.225428,C,C
rocksdb,rubis,44961,40,267262,44974,0.202542,6.634531,C,C
rocksdb,rubis,45342,50,271524,44691,0.208473,11.826459,C,C
rocksdb,rubis,45666,60,273845,44974,0.208119,16.299231,C,C
rocksdb,rubis,45753,70,274881,44807,0.215372,16.438674,C,C
rocksdb,rubis,45701,80,275456,44755,0.209661,20.897204,C,C
rocksdb,rubis,45637,90,274603,44795,0.211001,25.187228,C,C
rocksdb,rubis,45753,100,274843,44674,0.209815,28.485646,C,C
postgres,tpcc,87076,10,2776149,595568,2.164589,26.515922,C,C
postgres,tpcc,86111,20,2693424,571919,2.146007,24.983964,C,C
postgres,tpcc,85932,30,2652622,555595,2.096107,25.52109,I,I
postgres,tpcc,85173,40,2575131,534840,1.976266,25.075797,I,I
postgres,tpcc,84858,50,2519399,519947,1.851173,29.122252,C,C
postgres,tpcc,83737,60,2481155,511883,1.815378,35.483823,C,C
postgres,tpcc,82470,70,2403166,494669,1.794909,26.713488,C,C
postgres,tpcc,83133,80,2391637,483579,1.67761,30.561116,C,C
postgres,tpcc,82659,90,2337635,472417,1.610779,25.827416,C,C
postgres,tpcc,80099,100,2269541,465143,1.615736,25.368742,C,C
rocksdb,twitter,49718,10,344621,48378,0.221473,6.77113,C,C
rocksdb,twitter,49476,20,339548,48864,0.19477,7.618846,C,C
rocksdb,twitter,49231,30,335702,48720,0.218577,6.847683,C,C
rocksdb,twitter,48834,40,328358,48615,0.204295,7.635203,C,C
rocksdb,twitter,47618,50,307082,48295,0.201988,8.180546,C,C
rocksdb,twitter,47049,60,300340,48520,0.202933,9.51823,C,C
rocksdb,twitter,46877,70,299909,48174,0.189557,11.072509,C,C
rocksdb,twitter,46489,80,294692,48050,0.201091,12.235205,C,C
rocksdb,twitter,46477,90,295411,48014,0.189722,14.214518,C,C
rocksdb,twitter,46120,100,290779,47660,0.184645,14.172233,C,C
postgres,twitter,49906,10,348878,48328,0.221621,8.787501,C,C
postgres,twitter,49778,20,350981,48843,0.221124,7.679484,C,C
postgres,twitter,49673,30,345599,48513,0.224062,7.919437,C,C
postgres,twitter,49619,40,346707,48440,0.223575,8.478168,C,C
postgres,twitter,49570,50,347398,48927,0.215217,7.806806,C,C
postgres,twitter,49443,60,347035,48259,0.226059,7.434425,C,C
postgres,twitter,49293,70,344825,48083,0.222427,7.818648,C,C
postgres,twitter,49216,80,345691,48131,0.219235,7.972368,C,C
postgres,twitter,49124,90,344489,47928,0.223261,8.076847,C,C
postgres,twitter,49027,100,343044,47640,0.226004,7.986906,C,C
cockroachdb,twitter,49912,10,349088,48797,0.215623,8.082428,C,C
cockroachdb,twitter,49787,20,348236,48191,0.228064,7.334029,C,C
cockroachdb,twitter,49703,30,346672,48631,0.199446,9.160501,C,C
cockroachdb,twitter,49649,40,343584,48403,0.22485,13.094597,C,C
cockroachdb,twitter,49512,50,345332,48532,0.211363,11.513069,C,C
cockroachdb,twitter,49473,60,345449,48168,0.211402,13.526515,C,C
cockroachdb,twitter,49304,70,345437,48130,0.220279,11.152173,C,C
cockroachdb,twitter,49276,80,344531,47988,0.218761,8.310164,C,C
cockroachdb,twitter,49204,90,344112,47841,0.190757,10.700996,C,C
