database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
cockroachdb,twitter,49912,10,349088,48797,0.84574,9.413461,C,C
cockroachdb,twitter,49787,20,348236,48191,0.935314,8.286935,C,C
cockroachdb,twitter,49703,30,346672,48631,1.02129,11.108137,C,C
cockroachdb,twitter,49649,40,343584,48403,1.079525,14.111633,C,C
cockroachdb,twitter,49512,50,345332,48532,1.147316,12.637184,C,C
cockroachdb,twitter,49473,60,345449,48168,1.181464,14.604996,C,C
cockroachdb,twitter,49304,70,345437,48130,1.230802,12.647884,C,C
cockroachdb,twitter,49276,80,344531,47988,1.280173,10.046639,C,C
cockroachdb,twitter,49204,90,344112,47841,1.313543,11.834721,C,C
cockroachdb,twitter,49024,100,343521,48089,1.358263,16.675026,C,C
cockroachdb,tpcc,87311,10,2802908,602406,6.338075,26.935797,C,C
cockroachdb,tpcc,88850,20,2799594,586501,7.075972,30.207324,C,C
cockroachdb,tpcc,87697,30,2741381,574153,3.915494,DNF,I,N/A
cockroachdb,tpcc,88028,40,2709111,563046,7.958795,32.539352,C,C
cockroachdb,tpcc,85538,50,2622335,549404,8.129863,35.178443,C,C
cockroachdb,tpcc,87266,60,2622739,539738,8.531257,37.856431,C,C
cockroachdb,tpcc,84903,70,2549459,529933,8.674116,44.193109,C,C
cockroachdb,tpcc,84910,80,2516729,520034,9.005735,32.039372,C,C
cockroachdb,tpcc,85513,90,2509820,512998,9.310881,33.05179,C,C
cockroachdb,tpcc,84130,100,2445652,501054,9.519978,35.774116,C,C
rocksdb,rubis,48477,10,292733,45939,0.662007,7.10769,C,C
rocksdb,rubis,47007,20,281030,45674,0.707286,8.438498,C,C
rocksdb,rubis,45794,30,272468,45784,0.761459,8.133469,C,C
rocksdb,rubis,44961,40,267262,44974,0.791742,7.94041,C,C
rocksdb,rubis,45342,50,271524,44691,0.857949,13.108024,C,C
rocksdb,rubis,45666,60,273845,44974,0.916219,17.469327,C,C
rocksdb,rubis,45753,70,274881,44807,0.950652,17.888343,C,C
rocksdb,rubis,45701,80,275456,44755,0.984468,22.876933,C,C
rocksdb,rubis,45637,90,274603,44795,1.036098,26.882857,C,C
rocksdb,rubis,45753,100,274843,44674,1.083326,31.012979,C,C
rocksdb,tpcc,84061,10,2711625,590375,6.132946,26.462485,C,C
rocksdb,tpcc,81654,20,2639767,575753,6.598095,34.890684,C,C
rocksdb,tpcc,78853,30,2532605,554636,6.854685,33.77275,C,C
rocksdb,tpcc,78531,40,2502584,539404,7.235537,35.234089,C,C
rocksdb,tpcc,76306,50,2417230,525459,7.302709,35.834167,C,C
rocksdb,tpcc,76415,60,2402817,514098,7.664267,39.927764,C,C
rocksdb,tpcc,76301,70,2361326,501676,8.015099,37.45029,C,C
rocksdb,tpcc,72906,80,2284133,490284,8.060343,40.301791,C,C
rocksdb,tpcc,74491,90,2297134,484483,8.385281,48.142236,C,C
rocksdb,tpcc,72687,100,2233514,472090,8.455904,48.960663,C,C
postgres,twitter,49906,10,348878,48328,0.842824,9.104849,C,C
postgres,twitter,49778,20,350981,48843,0.960977,8.188179,C,C
postgres,twitter,49673,30,345599,48513,0.992438,9.062521,C,C
postgres,twitter,49619,40,346707,48440,1.087026,9.230427,C,C
postgres,twitter,49570,50,347398,48927,1.129169,9.725974,C,C
postgres,twitter,49443,60,347035,48259,1.193852,9.267287,C,C
postgres,twitter,49293,70,344825,48083,1.227257,9.140808,C,C
postgres,twitter,49216,80,345691,48131,1.279531,10.232868,C,C
postgres,twitter,49124,90,344489,47928,1.315577,9.202894,C,C
postgres,twitter,49027,100,343044,47640,1.343924,9.860578,C,C
postgres,tpcc,87076,10,2776149,595568,6.364311,28.943668,C,C
postgres,tpcc,86111,20,2693424,571919,6.819191,27.761341,C,C
postgres,tpcc,85932,30,2652622,555595,7.209456,28.357107,I,I
postgres,tpcc,85173,40,2575131,534840,7.490021,27.124112,I,I
postgres,tpcc,84858,50,2519399,519947,7.703725,30.721868,C,C
postgres,tpcc,83737,60,2481155,511883,7.996587,39.901425,C,C
postgres,tpcc,82470,70,2403166,494669,8.125252,28.178935,C,C
postgres,tpcc,83133,80,2391637,483579,8.458722,30.034242,C,C
postgres,tpcc,82659,90,2337635,472417,8.536204,28.12899,C,C
postgres,tpcc,80099,100,2269541,465143,8.677498,31.855011,C,C
rocksdb,twitter,49718,10,344621,48378,0.835648,7.613256,C,C
rocksdb,twitter,49476,20,339548,48864,0.928009,8.694364,C,C
rocksdb,twitter,49231,30,335702,48720,0.983539,8.105805,C,C
rocksdb,twitter,48834,40,328358,48615,1.021441,8.423059,C,C
rocksdb,twitter,47618,50,307082,48295,0.985156,9.838677,C,C
rocksdb,twitter,47049,60,300340,48520,0.992365,10.570298,C,C
rocksdb,twitter,46877,70,299909,48174,1.038273,12.703452,C,C
rocksdb,twitter,46489,80,294692,48050,1.044902,13.710063,C,C
rocksdb,twitter,46477,90,295411,48014,1.088984,15.137976,C,C
rocksdb,twitter,46120,100,290779,47660,1.099602,15.003577,C,C
postgres,rubis,49762,10,302778,45927,0.694546,8.598099,C,C
postgres,rubis,49587,20,301849,45906,0.780162,7.727243,C,C
postgres,rubis,49371,30,300814,45531,0.856517,8.71692,C,C
postgres,rubis,49195,40,300302,44913,0.912649,8.435683,C,C
postgres,rubis,49046,50,299442,44833,0.962931,8.717922,C,C
postgres,rubis,48856,60,298471,44719,1.032715,8.696589,C,C
postgres,rubis,48706,70,298698,44574,1.066284,8.795389,C,C
postgres,rubis,48593,80,297479,44872,1.084401,9.60207,C,C
postgres,rubis,48476,90,296881,44731,1.168034,9.619252,C,C
postgres,rubis,48403,100,297615,44245,1.230722,9.560068,C,C
cockroachdb,rubis,50000,10,303496,45612,0.689991,7.659902,C,C
cockroachdb,rubis,49910,20,303452,46197,0.789724,7.438342,C,C
cockroachdb,rubis,49738,30,302216,45767,0.855683,9.050125,C,C
cockroachdb,rubis,49259,40,301296,45319,0.921921,10.160732,C,C
cockroachdb,rubis,49032,50,299392,44875,0.961661,11.398308,C,C
cockroachdb,rubis,48980,60,299275,44874,1.021404,13.845079,C,C
cockroachdb,rubis,48900,70,298904,44834,1.069877,15.790531,C,C
cockroachdb,rubis,48783,80,298104,44755,1.107626,18.342786,C,C
cockroachdb,rubis,48775,90,298761,44991,1.158941,20.946078,C,C
cockroachdb,rubis,48728,100,298425,45039,1.205282,20.651595,C,C
