database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
postgres,rubis,49762,10,302778,45927,0.523742,7.651491,C,C
postgres,rubis,49587,20,301849,45906,0.529054,6.622107,C,C
postgres,rubis,49371,30,300814,45531,0.491186,7.23422,C,C
postgres,rubis,49195,40,300302,44913,0.497734,6.659639,C,C
postgres,rubis,49046,50,299442,44833,0.525441,6.623426,C,C
postgres,rubis,48856,60,298471,44719,0.511236,7.163629,C,C
postgres,rubis,48706,70,298698,44574,0.490034,6.860108,C,C
postgres,rubis,48593,80,297479,44872,0.526653,7.439521,C,C
postgres,rubis,48476,90,296881,44731,0.526991,6.668222,C,C
postgres,rubis,48403,100,297615,44245,0.522537,6.389544,C,C
rocksdb,tpcc,84061,10,2711625,590375,4.618467,26.043487,C,C
rocksdb,tpcc,81654,20,2639767,575753,4.485746,33.788223,C,C
rocksdb,tpcc,78853,30,2532605,554636,4.277993,30.629305,C,C
rocksdb,tpcc,78531,40,2502584,539404,4.27075,31.949925,C,C
rocksdb,tpcc,76306,50,2417230,525459,4.036743,34.984652,C,C
rocksdb,tpcc,76415,60,2402817,514098,4.006788,36.5389,C,C
rocksdb,tpcc,76301,70,2361326,501676,3.947761,36.740796,C,C
rocksdb,tpcc,72906,80,2284133,490284,3.849896,37.07757,C,C
rocksdb,tpcc,74491,90,2297134,484483,3.769153,45.620306,C,C
rocksdb,tpcc,72687,100,2233514,472090,3.649403,45.662664,C,C
rocksdb,rubis,48477,10,292733,45939,0.504894,6.03237,C,C
rocksdb,rubis,47007,20,281030,45674,0.45626,6.558896,C,C
rocksdb,rubis,45794,30,272468,45784,0.478241,6.225428,C,C
rocksdb,rubis,44961,40,267262,44974,0.466385,6.634531,C,C
rocksdb,rubis,45342,50,271524,44691,0.468242,11.826459,C,C
rocksdb,rubis,45666,60,273845,44974,0.479855,16.299231,C,C
rocksdb,rubis,45753,70,274881,44807,0.479781,16.438674,C,C
rocksdb,rubis,45701,80,275456,44755,0.467619,20.897204,C,C
rocksdb,rubis,45637,90,274603,44795,0.46211,25.187228,C,C
rocksdb,rubis,45753,100,274843,44674,0.483796,28.485646,C,C
postgres,tpcc,87076,10,2776149,595568,4.756222,26.515922,C,C
postgres,tpcc,86111,20,2693424,571919,4.652772,24.983964,C,C
postgres,tpcc,85932,30,2652622,555595,4.539284,25.52109,I,I
postgres,tpcc,85173,40,2575131,534840,4.335949,25.075797,I,I
postgres,tpcc,84858,50,2519399,519947,4.179948,29.122252,C,C
