txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
1018,50,8679,3676,0.025717,0.854192,C,C
2028,50,15680,5921,0.043113,1.210471,C,C
4051,50,29433,9571,0.070345,1.58788,C,C
8112,50,55353,14475,0.123128,2.362956,C,C
16212,50,107924,21942,0.204917,3.036634,C,C
32422,50,220249,35383,0.398561,5.609478,C,C
64938,50,466340,59429,0.769745,10.258441,C,C
129917,50,1005686,103370,1.755184,30.273341,C,C
260045,50,2172120,181461,3.926184,84.324642,C,C
520149,50,4546264,320243,8.43818,432.97161,C,C
1040886,50,9295212,560158,18.140068,1471.846128,C,C
1792,100,67382,27474,0.084263,1.781151,C,C
3221,100,113831,42266,0.183228,2.446952,C,C
6339,100,211011,70040,0.274039,3.476852,C,C
13657,100,415699,115297,0.585881,5.41817,C,C
27053,100,804194,198130,1.196358,9.533833,C,C
52930,100,1525392,336201,2.47566,17.394663,I,I
106914,100,2972843,571853,5.223524,56.745173,C,C
210643,100,5707765,972422,10.181247,142.672992,C,C
427535,100,11331147,1682928,21.595524,582.965751,C,C
851346,100,22087897,2969990,44.879675,1620.813827,C,C
1698605,100,43431622,5351888,97.201536,DNF,I,N/A
988,100,8311,3490,0.024934,0.864458,C,C
1966,100,15049,5772,0.041612,1.181664,C,C
3905,100,28046,9257,0.073448,1.523808,C,C
7732,100,52259,14246,0.106271,2.256191,C,C
15350,100,99424,22096,0.197412,3.260224,C,C
30380,100,191761,34975,0.344019,7.914056,C,C
60235,100,383497,59224,0.659101,29.367927,C,C
120039,100,773631,102976,1.330486,149.582622,C,C
237157,100,1534285,179762,2.722839,597.369282,C,C
471728,100,3050486,317941,5.69173,1862.811158,C,C
938059,100,5972994,557522,11.611552,5929.227421,C,C
1010,100,8453,3226,0.016561,0.823776,C,C
1991,100,15697,5290,0.042542,1.228134,C,C
3997,100,29180,8207,0.078919,1.663309,C,C
7984,100,53965,12026,0.124437,2.501055,C,C
15992,100,102408,18582,0.170834,4.131541,C,C
31977,100,197367,31669,0.360277,11.835504,C,C
64045,100,389659,57142,0.677661,32.533471,C,C
127835,100,772458,107950,1.326935,150.973563,C,C
255496,100,1538116,208611,2.660495,396.763902,C,C
511321,100,3071562,413300,5.396639,1421.285331,C,C
1022997,100,6142190,821566,11.217412,4903.733882,C,C
1690,100,63928,25747,0.116816,1.673704,C,C
3006,100,112432,42027,0.148297,2.322283,C,C
7287,100,236383,73464,0.335737,3.744749,C,C
14263,100,454555,126130,0.616777,6.154758,C,C
27641,100,846993,211548,1.26745,10.462814,C,C
55022,100,1637972,363635,2.654257,21.093477,I,I
108552,100,3151500,622270,5.582567,48.139453,C,C
220510,100,6170109,1062722,11.600782,200.793848,C,C
438806,100,12015687,1845689,23.233779,559.240368,C,C
875087,100,23566290,3282072,46.719605,3121.076912,C,C
1752078,100,46521224,5985503,102.373139,DNF,C,N/A
1000,50,8409,3550,0.025216,1.017745,C,C
1999,50,15846,6036,0.042228,1.187082,C,C
4013,50,29281,9469,0.0767,1.805202,C,C
7942,50,54718,14538,0.118976,2.155743,C,C
15856,50,103840,22034,0.162953,3.322851,C,C
31371,50,201261,35242,0.347425,5.73674,C,C
62149,50,403613,59742,0.648446,11.23783,C,C
122733,50,804354,103760,1.349059,35.204775,C,C
242459,50,1603636,181419,2.905779,173.108467,C,C
481027,50,3176724,319502,5.865482,799.204318,C,C
956588,50,6232203,559815,11.977408,2917.04708,C,C
803,100,6191,2515,0.020944,0.862462,C,C
1694,100,12704,4696,0.036077,1.1946,C,C
3504,100,24903,7802,0.063026,1.580729,C,C
7363,100,48533,12073,0.081383,2.475558,C,C
14802,100,92712,18500,0.191667,4.690042,C,C
29913,100,182398,31366,0.332205,11.875521,C,C
59994,100,358393,56948,0.574059,52.590875,C,C
120550,100,715688,107642,1.205778,185.856144,C,C
241384,100,1426709,209418,2.433522,729.796167,C,C
482693,100,2849541,411494,5.003919,2199.570468,C,C
965723,100,5694298,816005,10.338365,DNF,C,N/A
1011,100,8556,3504,0.017767,0.862558,C,C
2017,100,15402,5765,0.042658,1.233796,C,C
3977,100,29193,9446,0.047366,1.718302,C,C
8045,100,55002,14351,0.077745,2.29532,C,C
16035,100,106956,21971,0.172364,3.026717,C,C
32100,100,217777,34869,0.381435,5.835237,C,C
64297,100,461582,59015,0.804094,11.398642,C,C
128850,100,1002036,102134,1.713403,30.150081,C,C
257920,100,2159484,180527,3.941578,132.300544,C,C
516497,100,4545643,318296,8.411327,641.222406,C,C
1033128,100,9255091,556942,18.004125,2981.701878,C,C
1402,100,58559,24485,0.062795,1.685211,C,C
3108,100,120505,45970,0.153011,2.502761,C,C
5817,100,215210,71084,0.309888,3.760596,C,C
11843,100,404052,117098,0.571134,5.561244,C,C
24477,100,789709,199965,1.163344,9.787184,C,C
48217,100,1507931,341553,2.399644,25.326905,C,C
95045,100,2881027,582563,5.063344,68.120458,C,C
188674,100,5604325,1004556,10.176883,223.424218,C,C
377636,100,10893963,1732496,20.671413,815.384796,C,C
756092,100,21426307,3066796,43.284369,2526.644171,C,C
1514105,100,42274017,5541737,93.363563,DNF,C,N/A
1017,50,8634,3506,0.01616,0.904355,C,C
2034,50,16044,5929,0.021844,1.195775,C,C
4062,50,29111,9410,0.072498,1.6275,C,C
8113,50,55227,14528,0.111426,2.286729,C,C
16232,50,107794,21879,0.176087,3.158309,C,C
32477,50,221284,35272,0.380874,6.597911,C,C
64908,50,463516,59984,0.793811,24.723853,C,C
130157,50,1004606,103341,1.718255,116.413159,C,C
259670,50,2158566,181912,3.884179,552.382068,C,C
519776,50,4548563,318776,8.317092,1993.987002,C,C
1039604,50,9245578,558361,18.061647,DNF,C,N/A
1006,50,8376,3183,0.025144,0.841277,C,C
2011,50,15807,5271,0.047908,1.123955,C,C
4025,50,28966,8170,0.077257,1.706305,C,C
8030,50,53620,12192,0.088808,2.384625,C,C
16049,50,101804,18788,0.205435,3.64095,C,C
32139,50,198652,31660,0.362929,5.891845,C,C
64220,50,390492,57220,0.677404,14.260187,C,C
