database,script,txns,sessions,events,keys,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
rocksdb,rubis,871,50,6863,2753,0.029968,0.860031,0.13491,C,C,C
rocksdb,rubis,1793,50,13641,4888,0.038824,1.506396,5.442706,C,C,C
rocksdb,rubis,3639,50,25700,7901,0.0952,1.931469,151.070429,C,C,C
rocksdb,rubis,7411,50,49028,12171,0.166845,3.07028,DNR,C,C,DNR
rocksdb,rubis,14888,50,93354,18633,0.276723,4.435684,DNR,C,C,DNR
rocksdb,rubis,29823,50,181561,31313,0.556131,8.102532,DNR,C,C,DNR
rocksdb,rubis,59328,50,353349,57184,1.157794,18.114831,DNR,C,C,DNR
rocksdb,rubis,118977,50,702514,107486,2.623942,66.853126,DNR,C,C,DNR
rocksdb,rubis,237763,50,1399622,208794,5.899003,189.519073,DNR,C,C,DNR
rocksdb,rubis,475575,50,2786882,412194,13.57633,649.497481,DNR,C,C,DNR
rocksdb,rubis,950974,50,5572514,817564,31.996227,2211.143569,DNR,C,C,DNR
cockroachdb,rubis,1010,100,8453,3226,0.043316,0.998478,0.064581,C,C,C
cockroachdb,rubis,1991,100,15697,5290,0.075638,1.430697,0.996321,C,C,C
cockroachdb,rubis,3997,100,29180,8207,0.126227,1.989294,84.0606,C,C,C
cockroachdb,rubis,7984,100,53965,12026,0.197445,3.331599,DNR,C,C,DNR
cockroachdb,rubis,15992,100,102408,18582,0.382234,5.269632,DNR,C,C,DNR
cockroachdb,rubis,31977,100,197367,31669,0.753223,12.487929,DNR,C,C,DNR
cockroachdb,rubis,64045,100,389659,57142,1.673466,34.325245,DNR,C,C,DNR
cockroachdb,rubis,127835,100,772458,107950,3.860413,151.88033,DNR,C,C,DNR
cockroachdb,rubis,255496,100,1538116,208611,9.160597,394.021499,DNR,C,C,DNR
cockroachdb,rubis,511321,100,3071562,413300,20.870519,1402.720481,DNR,C,C,DNR
cockroachdb,rubis,1022997,100,6142190,821566,52.838779,4982.423451,DNR,C,C,DNR
postgres,tpcc,1792,100,67382,27474,0.228605,2.02403,0.260352,C,C,C
postgres,tpcc,3221,100,113831,42266,0.365093,2.88886,5.326468,C,C,C
postgres,tpcc,6339,100,211011,70040,0.59694,4.09393,256.207883,C,C,C
postgres,tpcc,13657,100,415699,115297,1.211858,6.282244,DNR,C,C,DNR
postgres,tpcc,27053,100,804194,198130,2.617951,9.995096,DNR,C,C,DNR
postgres,tpcc,52930,100,1525392,336201,5.544072,20.085771,DNR,I,I,DNR
postgres,tpcc,106914,100,2972843,571853,11.713268,58.746138,DNR,C,C,DNR
postgres,tpcc,210643,100,5707765,972422,24.415367,132.454931,DNR,C,C,DNR
postgres,tpcc,427535,100,11331147,1682928,55.723625,594.242668,DNR,C,C,DNR
postgres,tpcc,851346,100,22087897,2969990,124.929137,1645.875007,DNR,C,C,DNR
postgres,tpcc,1698605,100,43431622,5351888,79.365342,DNF,DNR,I,N/A,DNR
rocksdb,twitter,988,100,8311,3490,0.042175,0.844879,0.043562,C,C,C
rocksdb,twitter,1966,100,15049,5772,0.071776,1.383043,0.268185,C,C,C
rocksdb,twitter,3905,100,28046,9257,0.117207,1.91723,10.125248,C,C,C
rocksdb,twitter,7732,100,52259,14246,0.203383,2.887647,DNR,C,C,DNR
rocksdb,twitter,15350,100,99424,22096,0.337667,4.192385,DNR,C,C,DNR
rocksdb,twitter,30380,100,191761,34975,0.688748,8.877263,DNR,C,C,DNR
rocksdb,twitter,60235,100,383497,59224,1.449796,30.855746,DNR,C,C,DNR
rocksdb,twitter,120039,100,773631,102976,3.609523,145.970621,DNR,C,C,DNR
rocksdb,twitter,237157,100,1534285,179762,8.214337,588.542568,DNR,C,C,DNR
rocksdb,twitter,471728,100,3050486,317941,18.63779,1778.896358,DNR,C,C,DNR
rocksdb,twitter,938059,100,5972994,557522,41.519478,6189.404779,DNR,C,C,DNR
rocksdb,twitter,1000,50,8409,3550,0.035326,0.915004,0.146338,C,C,C
rocksdb,twitter,1999,50,15846,6036,0.034157,1.411313,1.164168,C,C,C
rocksdb,twitter,4013,50,29281,9469,0.107628,1.94407,128.062184,C,C,C
rocksdb,twitter,7942,50,54718,14538,0.168052,2.741909,DNR,C,C,DNR
rocksdb,twitter,15856,50,103840,22034,0.30612,4.62276,DNR,C,C,DNR
rocksdb,twitter,31371,50,201261,35242,0.620954,6.501876,DNR,C,C,DNR
