database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,rubis,871,50,6863,2753,0.008469,0.896148,C,C
rocksdb,rubis,1793,50,13641,4888,0.019404,1.429911,C,C
rocksdb,rubis,3639,50,25700,7901,0.028072,2.045832,C,C
rocksdb,rubis,7411,50,49028,12171,0.052416,3.109001,C,C
rocksdb,rubis,14888,50,93354,18633,0.105771,4.126441,C,C
rocksdb,rubis,29823,50,181561,31313,0.153825,8.169728,C,C
rocksdb,rubis,59328,50,353349,57184,0.32982,18.433989,C,C
rocksdb,rubis,118977,50,702514,107486,0.621272,67.584061,C,C
rocksdb,rubis,237763,50,1399622,208794,1.332797,199.83155,C,C
rocksdb,rubis,475575,50,2786882,412194,2.862503,681.430885,C,C
rocksdb,rubis,950974,50,5572514,817564,6.073315,2325.469879,C,C
cockroachdb,rubis,1010,100,8453,3226,0.011553,0.868763,C,C
cockroachdb,rubis,1991,100,15697,5290,0.01939,1.48067,C,C
cockroachdb,rubis,3997,100,29180,8207,0.036984,2.053634,C,C
cockroachdb,rubis,7984,100,53965,12026,0.053944,3.291199,C,C
cockroachdb,rubis,15992,100,102408,18582,0.103859,5.336933,C,C
cockroachdb,rubis,31977,100,197367,31669,0.189257,12.566366,C,C
cockroachdb,rubis,64045,100,389659,57142,0.330118,34.472782,C,C
cockroachdb,rubis,127835,100,772458,107950,0.682557,158.746651,C,C
cockroachdb,rubis,255496,100,1538116,208611,1.441066,413.066041,C,C
cockroachdb,rubis,511321,100,3071562,413300,3.109231,1481.066128,C,C
cockroachdb,rubis,1022997,100,6142190,821566,6.612718,4955.392688,C,C
postgres,tpcc,1559,50,61996,25412,0.055555,1.950824,C,C
postgres,tpcc,2840,50,108815,41352,0.073207,2.569011,I,I
postgres,tpcc,6717,50,237386,79043,0.169414,3.981179,C,C
postgres,tpcc,13016,50,434819,125682,0.261303,6.107591,C,C
postgres,tpcc,28902,50,903953,221594,0.573921,10.154446,I,N/A
postgres,tpcc,56153,50,1707685,377477,1.214406,19.822447,C,C
postgres,tpcc,111608,50,3285875,643549,2.826813,37.897296,C,C
postgres,tpcc,222615,50,6356005,1102065,6.103199,106.26838,C,C
postgres,tpcc,442989,50,12442735,1931844,12.373116,411.888192,C,C
postgres,tpcc,886437,50,24420983,3434033,23.651453,1016.995076,C,C
postgres,tpcc,1777734,50,48247456,6233519,56.102477,DNF,C,N/A
rocksdb,twitter,1000,50,8409,3550,0.010852,0.831748,C,C
rocksdb,twitter,1999,50,15846,6036,0.020011,1.324639,C,C
rocksdb,twitter,4013,50,29281,9469,0.02771,1.933751,C,C
rocksdb,twitter,7942,50,54718,14538,0.042834,2.658108,C,C
rocksdb,twitter,15856,50,103840,22034,0.096633,4.314897,C,C
rocksdb,twitter,31371,50,201261,35242,0.179885,6.778072,C,C
rocksdb,twitter,62149,50,403613,59742,0.334669,12.662355,C,C
rocksdb,twitter,122733,50,804354,103760,0.683147,37.218948,C,C
rocksdb,twitter,242459,50,1603636,181419,1.451034,185.361068,C,C
rocksdb,twitter,481027,50,3176724,319502,3.23912,760.27505,C,C
rocksdb,twitter,956588,50,6232203,559815,6.569315,2807.532081,C,C
postgres,twitter,1011,100,8556,3504,0.010616,0.914482,C,C
postgres,twitter,2017,100,15402,5765,0.018086,1.298542,C,C
postgres,twitter,3977,100,29193,9446,0.035797,1.981195,C,C
postgres,twitter,8045,100,55002,14351,0.045077,3.090491,C,C
postgres,twitter,16035,100,106956,21971,0.112637,4.584184,C,C
postgres,twitter,32100,100,217777,34869,0.18513,7.32487,C,C
postgres,twitter,64297,100,461582,59015,0.38741,13.63903,C,C
postgres,twitter,128850,100,1002036,102134,0.818655,35.328172,C,C
postgres,twitter,257920,100,2159484,180527,1.978654,146.582572,C,C
postgres,twitter,516497,100,4545643,318296,4.489137,639.14137,C,C
postgres,twitter,1033128,100,9255091,556942,9.562807,3036.460517,C,C
rocksdb,rubis,803,100,6191,2515,0.00805,0.76096,C,C
rocksdb,rubis,1694,100,12704,4696,0.018217,1.388182,C,C
rocksdb,rubis,3504,100,24903,7802,0.018479,1.95026,C,C
rocksdb,rubis,7363,100,48533,12073,0.058366,3.097547,C,C
rocksdb,rubis,14802,100,92712,18500,0.108493,5.554222,C,C
rocksdb,rubis,29913,100,182398,31366,0.164955,13.16437,C,C
rocksdb,rubis,59994,100,358393,56948,0.332498,55.221931,C,C
rocksdb,rubis,120550,100,715688,107642,0.609777,206.698397,C,C
