events,ours_cc (s),plume_cc (s)
6191,0.011894,0.833538
6863,0.016483,0.860031
8302,0.014735,0.948672
8311,0.01805,0.844879
8376,0.013341,0.956362
8409,0.012991,0.915004
8453,0.012364,0.998478
8463,0.013336,1.056229
8556,0.013897,0.987804
8634,0.017642,0.945557
8677,0.017622,0.945582
8679,0.01355,0.939173
12704,0.017233,1.311827
13641,0.020843,1.506396
15049,0.024984,1.383043
15402,0.025895,1.583929
15673,0.020861,1.432732
15680,0.026505,1.377962
15697,0.023968,1.430697
15796,0.025673,1.350379
15807,0.025285,1.374463
15846,0.018451,1.411313
15870,0.020752,1.348315
16044,0.020434,1.31513
24903,0.032523,2.007487
25700,0.036301,1.931469
28046,0.033966,1.91723
28965,0.030951,2.157336
28966,0.031509,2.119283
29111,0.033022,2.141574
29180,0.034323,1.989294
29193,0.041726,2.223382
29261,0.033591,2.111422
29281,0.034072,1.94407
29433,0.031024,2.052543
29573,0.042432,1.969074
48533,0.054049,3.417588
49028,0.054104,3.07028
52259,0.055077,2.887647
53293,0.064866,3.109575
53620,0.06254,3.01211
53847,0.062815,2.89206
53965,0.06373,3.331599
54526,0.073409,3.061235
54718,0.071929,2.741909
55002,0.077707,3.081218
55227,0.059982,2.94143
55353,0.05733,2.777645
58559,0.04996,1.967127
61996,0.052577,2.242805
63928,0.05527,1.952214
67382,0.055773,2.02403
70417,0.061279,1.922537
72987,0.07956,1.852606
92712,0.118944,5.545194
93354,0.110997,4.435684
99424,0.117608,4.192385
101267,0.143687,4.624356
101804,0.129612,4.8043
102408,0.146515,5.269632
102479,0.132619,4.193951
103840,0.122326,4.62276
106956,0.129891,4.505536
107399,0.141951,4.610407
107794,0.127381,4.296907
107924,0.130179,4.321461
108815,0.096303,2.593909
112432,0.102556,2.658576
113831,0.120952,2.88886
120505,0.105781,2.651128
126690,0.121526,2.502668
131505,0.107116,2.65602
181561,0.248105,8.102532
182398,0.285956,13.111114
191761,0.26524,8.877263
197367,0.314519,12.487929
197435,0.329794,7.424804
198370,0.300281,6.563051
198652,0.328733,6.895953
201261,0.274161,6.501876
211011,0.215608,4.09393
215210,0.193704,4.272089
217777,0.350483,7.392851
218122,0.357883,7.924796
220249,0.342935,6.804675
221284,0.341356,7.90075
236383,0.247039,4.477573
237386,0.217706,4.16043
245401,0.233856,3.95634
252622,0.233633,4.099111
353349,0.568715,18.114831
358393,0.664153,53.352629
383497,0.695034,30.855746
387390,0.814441,13.922541
389659,0.762042,34.325245
390492,0.696012,17.23047
391158,0.679388,12.057663
403613,0.667471,12.775219
404052,0.397011,6.48857
415699,0.412388,6.282244
434819,0.411663,6.577749
439647,0.407981,6.713031
454555,0.450854,7.295547
461205,0.849531,22.851018
461582,0.845174,13.90229
463516,0.802558,26.946868
466340,0.773189,11.763712
488660,0.472121,6.378448
702514,1.478597,66.853126
715688,1.808531,193.693242
769316,2.036668,28.883145
772458,2.003806,151.88033
773631,1.829393,145.970621
774226,1.68091,38.863486
776478,1.675175,24.605354
789709,0.886378,11.111353
804194,0.839592,9.995096
804354,1.757344,36.020117
846993,0.899807,11.160803
878953,0.91893,11.347991
903953,0.557032,10.49809
917753,0.938252,11.771671
994922,2.528664,84.346404
1002036,2.591383,34.297521
1004606,2.232184,114.989965
1005686,2.300562,33.802199
1399622,3.584199,189.519073
1426709,4.413742,714.330139
1507931,1.97499,27.868108
1525392,2.027969,20.085771
1533108,5.098233,78.267013
1534285,4.500807,588.542568
1538116,5.055983,394.021499
1545510,4.294484,55.248542
1548254,4.102298,221.868285
1603636,4.270586,175.238544
1626739,2.047319,23.276365
1637972,2.179336,22.759001
1707685,2.103394,19.107278
1763153,2.136142,24.6304
2120512,7.199815,592.053017
2158566,6.078999,549.235561
2159484,7.609921,147.493913
2172120,6.075829,97.148918
2786882,8.932813,649.497481
2849541,11.248926,2188.247345
2881027,4.412797,69.527577
2972843,4.611797,58.746138
3050486,11.832134,1778.896358
3060257,12.491971,220.234878
3071562,12.947752,1402.720481
3081473,10.094922,181.286522
3088292,10.583583,1084.890573
3151500,4.996352,50.889188
3158112,4.665318,51.241858
3176724,9.970526,749.521188
3285875,4.663936,39.244312
3433898,4.82057,56.864732
4400570,19.07313,3176.846102
4545643,20.444213,689.405999
4546264,14.910357,491.53106
4548563,14.671501,1953.912582
5572514,22.086536,2211.143569
5604325,9.959185,238.393975
5694298,28.283307,6880.475392
5707765,10.137864,132.454931
5972994,26.749475,6189.404779
6078822,10.360652,148.215007
6111542,32.221807,892.855729
6142190,32.459593,4982.423451
6162204,25.460124,3155.62736
6165842,25.770257,668.119728
6170109,11.064881,199.128876
6232203,21.17511,2750.010344
6356005,10.584156,97.366913
6636934,11.334087,116.668159
8939662,46.712746,DNF
9245578,32.685511,DNF
9255091,47.422944,2895.990627
9295212,33.60496,1550.015173
10893963,21.089766,798.960434
11331147,22.006594,594.242668
11775896,21.285215,683.31976
12015687,24.555158,567.414798
12442735,22.851116,386.742879
12973823,24.107507,553.157083
21426307,55.297622,2641.502124
22087897,54.370699,1645.875007
23186820,51.330439,2065.089127
23566290,60.082284,3031.266383
24420983,54.110721,1041.851373
25620662,59.345607,5006.348017
42274017,138.506577,DNF
43431622,43.406893,DNF
45686404,132.108587,DNF
46521224,155.995448,DNF
48247456,136.86717,DNF
50577782,143.495696,DNF
