events,ours_rc (s),plume_rc (s)
6191,0.010218,0.862462
6863,0.009661,0.856867
8302,0.008524,0.82173
8311,0.009279,0.864458
8376,0.010769,0.841277
8409,0.009363,1.017745
8453,0.00926,0.823776
8463,0.012533,0.915964
8556,0.00846,0.862558
8634,0.013612,0.904355
8677,0.013014,0.863499
8679,0.011219,0.854192
12704,0.013866,1.1946
13641,0.013253,1.301587
15049,0.014129,1.181664
15402,0.014172,1.233796
15673,0.014496,1.098064
15680,0.015179,1.210471
15697,0.014452,1.228134
15796,0.014186,1.237375
15807,0.013346,1.123955
15846,0.013257,1.187082
15870,0.015561,1.22488
16044,0.011909,1.195775
24903,0.01967,1.580729
25700,0.01715,1.572377
28046,0.017965,1.523808
28965,0.025442,1.631364
28966,0.020232,1.706305
29111,0.021178,1.6275
29180,0.020218,1.663309
29193,0.024378,1.718302
29261,0.020764,1.661365
29281,0.028649,1.805202
29433,0.019502,1.58788
29573,0.019375,1.671027
48533,0.043861,2.475558
49028,0.043413,2.294632
52259,0.036867,2.256191
53293,0.032805,2.296173
53620,0.033816,2.384625
53847,0.047248,2.303883
53965,0.032998,2.501055
54526,0.031589,2.284889
54718,0.037088,2.155743
55002,0.030634,2.29532
55227,0.03302,2.286729
55353,0.032927,2.362956
58559,0.029983,1.685211
61996,0.032267,1.818095
63928,0.032188,1.673704
67382,0.032744,1.781151
70417,0.061182,1.840985
72987,0.036982,1.793577
92712,0.056675,4.690042
93354,0.069518,3.493134
99424,0.053409,3.260224
101267,0.063122,2.909572
101804,0.07012,3.64095
102408,0.062301,4.131541
102479,0.061584,2.855469
103840,0.058841,3.322851
106956,0.06069,3.026717
107399,0.05932,3.223832
107794,0.073282,3.158309
107924,0.061336,3.036634
108815,0.053698,2.466659
112432,0.056244,2.322283
113831,0.056146,2.446952
120505,0.058135,2.502761
126690,0.07714,2.361951
131505,0.057276,2.319264
181561,0.108962,6.975391
182398,0.107044,11.875521
191761,0.114878,7.914056
197367,0.116699,11.835504
197435,0.119375,5.550155
198370,0.114663,5.487049
198652,0.117447,5.891845
201261,0.114542,5.73674
211011,0.093579,3.476852
215210,0.095647,3.760596
217777,0.122008,5.835237
218122,0.16827,6.712066
220249,0.122656,5.609478
221284,0.16146,6.597911
236383,0.104284,3.744749
237386,0.123172,3.888099
245401,0.118236,3.86146
252622,0.12272,3.706471
353349,0.214594,16.52458
358393,0.217648,52.590875
383497,0.220583,29.367927
387390,0.245941,9.89369
389659,0.266406,32.533471
390492,0.270018,14.260187
391158,0.230972,9.116274
403613,0.222253,11.23783
404052,0.178692,5.561244
415699,0.179744,5.41817
434819,0.201765,5.837954
439647,0.20794,6.318988
454555,0.206203,6.154758
461205,0.28044,20.499276
461582,0.261467,11.398642
463516,0.263822,24.723853
466340,0.278639,10.258441
488660,0.22287,5.472991
702514,0.428304,64.545055
715688,0.469727,185.856144
769316,0.495195,20.891881
772458,0.48726,150.973563
773631,0.486456,149.582622
774226,0.509442,34.172217
776478,0.497169,17.798481
789709,0.382831,9.787184
804194,0.373264,9.533833
804354,0.567411,35.204775
846993,0.420847,10.462814
878953,0.397854,10.748151
903953,0.412084,9.742069
917753,0.40766,10.538983
994922,0.628919,86.33983
1002036,0.599227,30.150081
1004606,0.636602,116.413159
1005686,0.613875,30.273341
1399622,0.993599,177.195948
1426709,1.005272,729.796167
1507931,0.87006,25.326905
1525392,0.887974,17.394663
1533108,1.092789,55.87997
1534285,1.070737,597.369282
1538116,1.050617,396.763902
1545510,1.038585,37.016342
1548254,1.038951,208.817962
1603636,1.091777,173.108467
1626739,0.912494,21.171492
1637972,0.935868,21.093477
1707685,0.944947,17.852407
1763153,0.979231,23.033064
2120512,1.389698,611.40708
2158566,1.409334,552.382068
2159484,1.406691,132.300544
2172120,1.390492,84.324642
2786882,2.067503,668.331986
2849541,2.096692,2199.570468
2881027,1.912317,68.120458
2972843,1.983954,56.745173
3050486,2.381795,1862.811158
3060257,2.279408,172.407472
3071562,2.317416,1421.285331
3081473,2.182599,133.642213
3088292,2.271091,1057.01591
3151500,2.014258,48.139453
3158112,2.086479,49.852986
3176724,2.390292,799.204318
3285875,2.17259,35.069774
3433898,2.167153,51.525074
4400570,3.137984,3244.725389
4545643,3.263915,641.222406
4546264,3.248808,432.97161
4548563,3.187933,1993.987002
5572514,4.565561,2154.791754
5604325,3.725808,223.424218
5694298,4.629888,DNF
5707765,3.902866,142.672992
5972994,5.148016,5929.227421
6078822,4.482861,151.126597
6111542,5.070153,645.33683
6142190,5.059374,4903.733882
6162204,5.092138,2823.500424
6165842,4.872587,383.522931
6170109,4.442393,200.793848
6232203,5.12032,2917.04708
6356005,4.696506,87.679055
6636934,5.011946,150.988125
8939662,6.852883,DNF
9245578,7.095115,DNF
9255091,7.215454,2981.701878
9295212,6.775036,1471.846128
10893963,7.520382,815.384796
11331147,8.023706,582.965751
11775896,8.374971,694.724982
12015687,8.979037,559.240368
12442735,8.675587,373.433637
12973823,9.406314,526.784745
21426307,17.088568,2526.644171
22087897,18.147237,1620.813827
23186820,17.984206,1946.191539
23566290,18.933708,3121.076912
24420983,19.160846,974.876908
25620662,20.27212,4965.275801
42274017,39.496644,DNF
43431622,40.689176,DNF
45686404,40.535546,DNF
46521224,42.794212,DNF
48247456,42.590368,DNF
50577782,43.417544,DNF
