events,ours_ra (s),plume_ra (s)
6191,0.009885,0.76096
6863,0.009642,0.896148
8302,0.012876,0.897025
8311,0.011696,1.023705
8376,0.012636,0.999286
8409,0.011609,0.831748
8453,0.012708,0.868763
8463,0.012964,1.020542
8556,0.014885,0.914482
8634,0.013281,1.03739
8677,0.011206,0.927033
8679,0.012732,0.953514
12704,0.015311,1.388182
13641,0.017583,1.429911
15049,0.015671,1.334155
15402,0.017981,1.298542
15673,0.018022,1.440574
15680,0.015694,1.379928
15697,0.017256,1.48067
15796,0.015821,1.340866
15807,0.017275,1.390424
15846,0.015795,1.324639
15870,0.017249,1.460413
16044,0.015893,1.310633
24903,0.019988,1.95026
25700,0.020965,2.045832
28046,0.025052,1.941193
28965,0.02507,2.109035
28966,0.026126,1.877522
29111,0.038079,1.882546
29180,0.035021,2.053634
29193,0.032183,1.981195
29261,0.027008,2.066019
29281,0.024492,1.933751
29433,0.023616,1.898738
29573,0.024578,1.899304
48533,0.045951,3.097547
49028,0.038363,3.109001
52259,0.037655,3.083896
53293,0.042968,3.107193
53620,0.039887,3.045055
53847,0.043565,2.822374
53965,0.04383,3.291199
54526,0.059043,3.099143
54718,0.037144,2.658108
55002,0.03864,3.090491
55227,0.037765,2.66601
55353,0.041724,2.679048
58559,0.033727,1.838584
61996,0.048205,1.950824
63928,0.036544,1.940436
67382,0.037757,1.749116
70417,0.041859,1.959267
72987,0.044457,1.982299
92712,0.075072,5.554222
93354,0.071323,4.126441
99424,0.070505,4.106436
101267,0.093747,4.683061
101804,0.081518,4.60598
102408,0.083819,5.336933
102479,0.082008,3.938965
103840,0.072687,4.314897
106956,0.092123,4.584184
107399,0.07632,4.608306
107794,0.073666,4.411502
107924,0.077376,4.170959
108815,0.066417,2.569011
112432,0.067999,2.618871
113831,0.06883,2.487455
120505,0.081655,2.498922
126690,0.087702,2.736097
131505,0.068991,2.511552
181561,0.154115,8.169728
182398,0.150525,13.16437
191761,0.146823,8.847469
197367,0.165297,12.566366
197435,0.165838,7.635796
198370,0.165205,6.381215
198652,0.177792,7.517483
201261,0.14788,6.778072
211011,0.148663,3.864645
215210,0.121397,4.13599
217777,0.196834,7.32487
218122,0.173514,7.834422
220249,0.170584,6.517532
221284,0.165556,7.86396
236383,0.146212,4.367692
237386,0.148503,3.981179
245401,0.145478,4.164703
252622,0.156041,3.932481
353349,0.32013,18.433989
358393,0.329499,55.221931
383497,0.291884,31.005718
387390,0.334035,13.450905
389659,0.357697,34.472782
390492,0.340408,16.985276
391158,0.336089,11.931742
403613,0.317853,12.662355
404052,0.23416,6.227737
415699,0.239219,6.123915
434819,0.252356,6.107591
439647,0.276401,6.668321
454555,0.26815,7.001254
461205,0.342625,23.181147
461582,0.348654,13.63903
463516,0.349406,25.97166
466340,0.363453,12.502916
488660,0.298961,6.714549
702514,0.625249,67.584061
715688,0.661875,206.698397
769316,0.669099,29.931987
772458,0.659386,158.746651
773631,0.693279,146.330918
774226,0.6766,39.17912
776478,0.721681,24.754482
789709,0.474732,11.20398
804194,0.506045,10.218171
804354,0.724291,37.218948
846993,0.495837,11.566914
878953,0.528169,11.155357
903953,0.547305,10.154446
917753,0.522931,12.615176
994922,0.80461,84.221264
1002036,0.887921,35.328172
1004606,0.916935,117.765504
1005686,0.895131,33.432953
1399622,1.310987,199.83155
1426709,1.312662,758.654951
1507931,1.119052,27.3866
1525392,1.127671,20.598652
1533108,1.521942,81.660612
1534285,1.387383,606.286888
1538116,1.493409,413.066041
1545510,1.610274,56.565998
1548254,1.524709,232.720993
1603636,1.60539,185.361068
1626739,1.19234,23.624833
1637972,1.207071,23.002843
1707685,1.222143,19.822447
1763153,1.268014,24.836817
2120512,1.965848,642.825902
2158566,2.182585,547.21552
2159484,2.16258,146.582572
2172120,2.176491,96.794787
2786882,3.065445,681.430885
2849541,3.008112,2207.034528
2881027,2.480565,67.826744
2972843,2.566727,57.824394
3050486,3.13241,1869.839436
3060257,3.239483,214.254557
3071562,3.391434,1481.066128
3081473,3.532697,192.69694
3088292,3.495107,1085.855774
3151500,2.686331,49.929521
3158112,2.704853,52.729141
3176724,3.441714,760.27505
3285875,2.865738,37.897296
3433898,2.90457,55.006127
4400570,4.545209,3286.412374
4545643,5.07079,639.14137
4546264,4.982778,485.866783
4548563,4.667899,2073.76832
5572514,6.247243,2325.469879
5604325,4.947721,236.846809
5694298,6.538851,7200
5707765,4.916492,135.655233
5972994,6.652267,6251.596956
6078822,5.779346,150.415316
6111542,6.976893,945.65696
6142190,7.147179,4955.392688
6162204,7.188176,3131.838601
6165842,7.240212,695.25055
6170109,5.884654,204.848887
6232203,6.966806,2807.532081
6356005,5.896697,106.26838
6636934,6.415295,158.718096
8939662,9.666541,7200
9245578,9.760485,7200
9255091,10.067043,3036.460517
9295212,9.826807,1589.575111
10893963,9.380955,808.097461
11331147,10.281668,640.295075
11775896,10.643991,692.264021
12015687,10.98554,582.597595
12442735,11.205526,411.888192
12973823,11.882784,550.838206
21426307,21.790996,2723.920691
22087897,22.02639,1742.585146
23186820,22.382548,2134.50918
23566290,23.323425,3271.816493
24420983,24.254633,1016.995076
25620662,25.201452,5427.559463
42274017,48.516928,7200
43431622,53.434381,7200
45686404,51.655267,7200
46521224,54.350386,7200
48247456,56.234665,7200
50577782,55.707454,7200
