database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,twitter,988,100,8311,3490,0.011673,0.864458,C,C
rocksdb,twitter,1966,100,15049,5772,0.017565,1.181664,C,C
rocksdb,twitter,3905,100,28046,9257,0.020966,1.523808,C,C
rocksdb,twitter,7732,100,52259,14246,0.052555,2.256191,C,C
rocksdb,twitter,15350,100,99424,22096,0.093802,3.260224,C,C
rocksdb,twitter,30380,100,191761,34975,0.148555,7.914056,C,C
rocksdb,twitter,60235,100,383497,59224,0.247546,29.367927,C,C
rocksdb,twitter,120039,100,773631,102976,0.491112,149.582622,C,C
rocksdb,twitter,237157,100,1534285,179762,1.12525,597.369282,C,C
rocksdb,twitter,471728,100,3050486,317941,2.333609,1862.811158,C,C
rocksdb,twitter,938059,100,5972994,557522,4.852542,5929.227421,C,C
cockroachdb,rubis,1006,50,8376,3183,0.01305,0.841277,C,C
cockroachdb,rubis,2011,50,15807,5271,0.014529,1.123955,C,C
cockroachdb,rubis,4025,50,28966,8170,0.024582,1.706305,C,C
cockroachdb,rubis,8030,50,53620,12192,0.060563,2.384625,C,C
cockroachdb,rubis,16049,50,101804,18788,0.104995,3.64095,C,C
cockroachdb,rubis,32139,50,198652,31660,0.179963,5.891845,C,C
cockroachdb,rubis,64220,50,390492,57220,0.289921,14.260187,C,C
cockroachdb,rubis,128430,50,774226,108938,0.521522,34.172217,C,C
cockroachdb,rubis,257261,50,1548254,211181,1.097179,208.817962,C,C
cockroachdb,rubis,515325,50,3088292,417025,2.263679,1057.01591,C,C
cockroachdb,rubis,1029093,50,6162204,827140,4.490968,2823.500424,C,C
postgres,tpcc,1792,100,67382,27474,0.057667,1.781151,C,C
postgres,tpcc,3221,100,113831,42266,0.099009,2.446952,C,C
postgres,tpcc,6339,100,211011,70040,0.12836,3.476852,C,C
postgres,tpcc,13657,100,415699,115297,0.249095,5.41817,C,C
postgres,tpcc,27053,100,804194,198130,0.461845,9.533833,C,C
postgres,tpcc,52930,100,1525392,336201,1.089312,17.394663,I,I
postgres,tpcc,106914,100,2972843,571853,2.32135,56.745173,C,C
postgres,tpcc,210643,100,5707765,972422,4.740459,142.672992,C,C
postgres,tpcc,427535,100,11331147,1682928,10.14524,582.965751,C,C
postgres,tpcc,851346,100,22087897,2969990,21.806938,1620.813827,C,C
postgres,tpcc,1698605,100,43431622,5351888,53.033957,DNF,I,N/A
cockroachdb,rubis,1010,100,8453,3226,0.008593,0.823776,C,C
cockroachdb,rubis,1991,100,15697,5290,0.013989,1.228134,C,C
cockroachdb,rubis,3997,100,29180,8207,0.033145,1.663309,C,C
cockroachdb,rubis,7984,100,53965,12026,0.060219,2.501055,C,C
cockroachdb,rubis,15992,100,102408,18582,0.106208,4.131541,C,C
cockroachdb,rubis,31977,100,197367,31669,0.173388,11.835504,C,C
cockroachdb,rubis,64045,100,389659,57142,0.298784,32.533471,C,C
cockroachdb,rubis,127835,100,772458,107950,0.522777,150.973563,C,C
cockroachdb,rubis,255496,100,1538116,208611,1.078138,396.763902,C,C
cockroachdb,rubis,511321,100,3071562,413300,2.174023,1421.285331,C,C
cockroachdb,rubis,1022997,100,6142190,821566,4.752384,4903.733882,C,C
rocksdb,tpcc,1402,100,58559,24485,0.051251,1.685211,C,C
rocksdb,tpcc,3108,100,120505,45970,0.10485,2.502761,C,C
rocksdb,tpcc,5817,100,215210,71084,0.133238,3.760596,C,C
rocksdb,tpcc,11843,100,404052,117098,0.25561,5.561244,C,C
rocksdb,tpcc,24477,100,789709,199965,0.487426,9.787184,C,C
rocksdb,tpcc,48217,100,1507931,341553,1.123773,25.326905,C,C
rocksdb,tpcc,95045,100,2881027,582563,2.241339,68.120458,C,C
rocksdb,tpcc,188674,100,5604325,1004556,4.60174,223.424218,C,C
rocksdb,tpcc,377636,100,10893963,1732496,9.616376,815.384796,C,C
rocksdb,tpcc,756092,100,21426307,3066796,20.635355,2526.644171,C,C
rocksdb,tpcc,1514105,100,42274017,5541737,49.463377,DNF,C,N/A
rocksdb,rubis,871,50,6863,2753,0.010415,0.856867,C,C
rocksdb,rubis,1793,50,13641,4888,0.017379,1.301587,C,C
rocksdb,rubis,3639,50,25700,7901,0.025723,1.572377,C,C
rocksdb,rubis,7411,50,49028,12171,0.037429,2.294632,C,C
rocksdb,rubis,14888,50,93354,18633,0.072938,3.493134,C,C
rocksdb,rubis,29823,50,181561,31313,0.1338,6.975391,C,C
rocksdb,rubis,59328,50,353349,57184,0.261009,16.52458,C,C
rocksdb,rubis,118977,50,702514,107486,0.429234,64.545055,C,C
rocksdb,rubis,237763,50,1399622,208794,0.999365,177.195948,C,C
rocksdb,rubis,475575,50,2786882,412194,1.826204,668.331986,C,C
rocksdb,rubis,950974,50,5572514,817564,4.330694,2154.791754,C,C
postgres,twitter,1011,100,8556,3504,0.011921,0.862558,C,C
postgres,twitter,2017,100,15402,5765,0.018355,1.233796,C,C
postgres,twitter,3977,100,29193,9446,0.033707,1.718302,C,C
postgres,twitter,8045,100,55002,14351,0.048877,2.29532,C,C
postgres,twitter,16035,100,106956,21971,0.101409,3.026717,C,C
postgres,twitter,32100,100,217777,34869,0.174486,5.835237,C,C
postgres,twitter,64297,100,461582,59015,0.310661,11.398642,C,C
postgres,twitter,128850,100,1002036,102134,0.632189,30.150081,C,C
postgres,twitter,257920,100,2159484,180527,1.408185,132.300544,C,C
postgres,twitter,516497,100,4545643,318296,3.233688,641.222406,C,C
postgres,twitter,1033128,100,9255091,556942,6.565985,2981.701878,C,C
postgres,twitter,1018,50,8679,3676,0.007956,0.854192,C,C
postgres,twitter,2028,50,15680,5921,0.017899,1.210471,C,C
postgres,twitter,4051,50,29433,9571,0.031742,1.58788,C,C
postgres,twitter,8112,50,55353,14475,0.048066,2.362956,C,C
postgres,twitter,16212,50,107924,21942,0.072566,3.036634,C,C
postgres,twitter,32422,50,220249,35383,0.177501,5.609478,C,C
postgres,twitter,64938,50,466340,59429,0.287629,10.258441,C,C
postgres,twitter,129917,50,1005686,103370,0.633381,30.273341,C,C
postgres,twitter,260045,50,2172120,181461,1.331269,84.324642,C,C
postgres,twitter,520149,50,4546264,320243,3.195527,432.97161,C,C
postgres,twitter,1040886,50,9295212,560158,6.705092,1471.846128,C,C
rocksdb,twitter,1000,50,8409,3550,0.007399,1.017745,C,C
rocksdb,twitter,1999,50,15846,6036,0.018219,1.187082,C,C
rocksdb,twitter,4013,50,29281,9469,0.026528,1.805202,C,C
rocksdb,twitter,7942,50,54718,14538,0.035756,2.155743,C,C
rocksdb,twitter,15856,50,103840,22034,0.085321,3.322851,C,C
rocksdb,twitter,31371,50,201261,35242,0.166666,5.73674,C,C
rocksdb,twitter,62149,50,403613,59742,0.265039,11.23783,C,C
rocksdb,twitter,122733,50,804354,103760,0.537779,35.204775,C,C
rocksdb,twitter,242459,50,1603636,181419,1.029834,173.108467,C,C
rocksdb,twitter,481027,50,3176724,319502,2.350787,799.204318,C,C
rocksdb,twitter,956588,50,6232203,559815,5.236539,2917.04708,C,C
rocksdb,rubis,803,100,6191,2515,0.007582,0.862462,C,C
rocksdb,rubis,1694,100,12704,4696,0.015576,1.1946,C,C
rocksdb,rubis,3504,100,24903,7802,0.018949,1.580729,C,C
rocksdb,rubis,7363,100,48533,12073,0.046322,2.475558,C,C
rocksdb,rubis,14802,100,92712,18500,0.095844,4.690042,C,C
rocksdb,rubis,29913,100,182398,31366,0.161324,11.875521,C,C
rocksdb,rubis,59994,100,358393,56948,0.272299,52.590875,C,C
rocksdb,rubis,120550,100,715688,107642,0.45926,185.856144,C,C
