database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
postgres,cheng,97702,100,978010,1000,10,0.915708,32.103921,C,C
postgres,cheng,47789,100,956760,1000,20,0.881217,22.098984,C,C
postgres,cheng,31334,100,941010,1020,30,0.902402,18.449828,C,C
postgres,cheng,23529,100,942120,1000,40,0.946616,19.852572,C,C
postgres,cheng,18577,100,929800,1000,50,0.92349,15.236853,C,C
postgres,cheng,15417,100,925980,1020,60,0.946951,15.284683,C,C
postgres,cheng,13229,100,927010,1050,70,0.986127,14.569636,C,C
postgres,cheng,11572,100,926720,1040,80,0.971262,14.852156,C,C
postgres,cheng,10276,100,925830,1080,90,0.976942,14.470698,C,C
postgres,cheng,9242,100,925100,1000,100,0.972106,14.302398,C,C
cockroachdb,cheng,96629,100,967280,1000,10,0.898016,32.123097,C,C
cockroachdb,cheng,42270,100,846380,1000,20,0.795807,22.911418,C,C
cockroachdb,cheng,28302,100,850050,1020,30,0.84464,20.316439,C,C
cockroachdb,cheng,20940,100,838560,1000,40,0.853458,19.235946,C,C
cockroachdb,cheng,17205,100,861200,1000,50,0.867278,19.256197,C,C
cockroachdb,cheng,14431,100,866820,1020,60,0.890872,19.356616,C,C
cockroachdb,cheng,12179,100,853510,1050,70,0.9245,19.099767,C,C
cockroachdb,cheng,11113,100,890000,1040,80,0.93657,19.884348,C,C
cockroachdb,cheng,9775,100,880740,1080,90,0.932389,20.182095,C,C
cockroachdb,cheng,8917,100,892600,1000,100,0.945084,20.354066,C,C
rocksdb,cheng,68579,100,686780,1000,10,0.63565,24.516896,C,C
rocksdb,cheng,27179,100,544560,1000,20,0.511395,14.579756,C,C
rocksdb,cheng,15403,100,463080,1020,30,0.455775,11.865822,C,C
rocksdb,cheng,10640,100,426560,1000,40,0.450695,9.209209,C,C
rocksdb,cheng,8182,100,410050,1000,50,0.420423,9.150734,C,C
rocksdb,cheng,6796,100,408720,1020,60,0.439399,8.912045,C,C
rocksdb,cheng,5792,100,406420,1050,70,0.448772,8.679308,C,C
rocksdb,cheng,5014,100,402080,1040,80,0.43928,8.796344,C,C
rocksdb,cheng,4377,100,394920,1080,90,0.422857,8.135308,C,C
rocksdb,cheng,4334,100,434300,1000,100,0.469426,8.633679,C,C
