database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,cheng,6626,100,67250,1000,10,0.161369,4.041446,C,C
rocksdb,cheng,5223,100,105440,1000,20,0.254687,4.643856,C,C
rocksdb,cheng,4512,100,136350,1020,30,0.312303,4.545558,C,C
rocksdb,cheng,4159,100,167320,1000,40,0.412298,5.456894,C,C
rocksdb,cheng,4060,100,203950,1000,50,0.545587,5.775271,C,C
rocksdb,cheng,3835,100,231060,1020,60,0.624308,5.937823,C,C
rocksdb,cheng,3931,100,276150,1050,70,0.838466,6.39447,C,C
rocksdb,cheng,4015,100,322160,1040,80,1.039648,7.045548,C,C
rocksdb,cheng,3871,100,349380,1080,90,1.148926,7.493167,C,C
rocksdb,cheng,4240,100,424900,1000,100,1.660381,8.797006,C,C
cockroachdb,cheng,9721,100,98200,1000,10,0.235013,4.547806,C,C
cockroachdb,cheng,9109,100,183160,1000,20,0.499005,6.155823,C,C
cockroachdb,cheng,8344,100,251310,1020,30,0.782487,7.014401,C,C
cockroachdb,cheng,8391,100,336600,1000,40,1.221643,8.459855,C,C
cockroachdb,cheng,8419,100,421900,1000,50,1.768362,9.848162,C,C
cockroachdb,cheng,8651,100,520020,1020,60,2.4212,11.570503,C,C
cockroachdb,cheng,8811,100,617750,1050,70,3.226854,13.287932,C,C
cockroachdb,cheng,8936,100,715840,1040,80,3.927615,15.680623,C,C
cockroachdb,cheng,8905,100,802440,1080,90,4.452962,16.78479,C,C
cockroachdb,cheng,8945,100,895400,1000,100,5.252095,19.964085,C,C
postgres,cheng,9759,100,98580,1000,10,0.220576,4.408057,C,C
postgres,cheng,9565,100,192280,1000,20,0.477508,5.984608,C,C
postgres,cheng,9430,100,283890,1020,30,0.673824,7.097844,C,C
postgres,cheng,9336,100,374400,1000,40,0.940931,8.495046,C,C
postgres,cheng,9307,100,466300,1000,50,1.198833,8.788442,C,C
postgres,cheng,9262,100,556680,1020,60,1.482662,9.461978,C,C
postgres,cheng,9269,100,649810,1050,70,1.710599,11.145525,C,C
postgres,cheng,9250,100,740960,1040,80,2.047322,11.44492,C,C
postgres,cheng,9230,100,831690,1080,90,2.29396,12.310273,C,C
postgres,cheng,9233,100,924200,1000,100,2.841015,13.804504,C,C
