database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
cockroachdb,twitter,99822,10,752530,83887,N/A,1.067084,16.348999,C,C
cockroachdb,twitter,99666,20,747610,83642,N/A,1.541479,29.229245,C,C
cockroachdb,twitter,99508,30,738866,83671,N/A,1.631102,17.268931,C,C
cockroachdb,twitter,99286,40,747690,83359,N/A,1.921856,50.385565,C,C
cockroachdb,twitter,99071,50,740492,82819,N/A,2.075834,80.974417,C,C
cockroachdb,twitter,98893,60,734545,82715,N/A,2.08292,82.716648,C,C
cockroachdb,twitter,98775,70,741825,82939,N/A,2.403183,41.952292,C,C
cockroachdb,twitter,98518,80,736788,82865,N/A,2.62526,29.507273,C,C
cockroachdb,twitter,98340,90,733336,82281,N/A,2.702763,80.262902,C,C
cockroachdb,twitter,98240,100,737371,82587,N/A,2.802053,36.75088,C,C
rocksdb,twitter,99256,10,726996,83829,N/A,1.058734,16.290647,C,C
rocksdb,twitter,98391,20,706428,83923,N/A,1.252565,17.626273,C,C
rocksdb,twitter,97708,30,689779,83269,N/A,1.504681,18.063216,C,C
rocksdb,twitter,96763,40,669483,83275,N/A,1.726512,16.866419,C,C
rocksdb,twitter,94144,50,620077,83708,N/A,1.657553,31.506181,C,C
rocksdb,twitter,93152,60,605968,83108,N/A,1.64967,47.634338,C,C
rocksdb,twitter,92705,70,599437,83220,N/A,1.794789,56.420926,C,C
rocksdb,twitter,92394,80,596271,83023,N/A,1.890103,60.079801,C,C
rocksdb,twitter,91896,90,590788,82845,N/A,1.978828,69.776794,C,C
rocksdb,twitter,91662,100,586958,82942,N/A,2.014245,84.578588,C,C
postgres,twitter,99804,10,748538,83922,N/A,1.10821,27.927838,C,C
postgres,twitter,99595,20,748605,83055,N/A,1.494414,18.838905,C,C
postgres,twitter,99424,30,748505,84060,N/A,1.712919,23.502371,C,C
postgres,twitter,99300,40,740041,83112,N/A,1.859261,22.273163,C,C
postgres,twitter,99163,50,746541,83835,N/A,2.021141,20.679311,C,C
postgres,twitter,98972,60,741102,82985,N/A,2.245968,23.953317,C,C
postgres,twitter,98676,70,737307,82952,N/A,2.395446,31.240998,C,C
postgres,twitter,98572,80,741400,82417,N/A,2.65232,27.870926,C,C
postgres,twitter,98461,90,741610,82957,N/A,2.729749,29.471631,C,C
postgres,twitter,98228,100,733164,82223,N/A,2.641344,24.677926,C,C
