database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,twitter,99256,10,726996,83829,N/A,0.623823,16.51853,C,C
rocksdb,twitter,98391,20,706428,83923,N/A,0.624387,17.671595,C,C
rocksdb,twitter,97708,30,689779,83269,N/A,0.596901,18.73446,C,C
rocksdb,twitter,96763,40,669483,83275,N/A,0.574619,15.69343,C,C
rocksdb,twitter,94144,50,620077,83708,N/A,0.533645,30.83607,C,C
rocksdb,twitter,93152,60,605968,83108,N/A,0.507139,45.087434,C,C
rocksdb,twitter,92705,70,599437,83220,N/A,0.502138,57.583882,C,C
rocksdb,twitter,92394,80,596271,83023,N/A,0.484443,60.44515,C,C
rocksdb,twitter,91896,90,590788,82845,N/A,0.490565,68.354431,C,C
rocksdb,twitter,91662,100,586958,82942,N/A,0.512184,84.039763,C,C
postgres,twitter,99804,10,748538,83922,N/A,0.638292,26.854373,C,C
postgres,twitter,99595,20,748605,83055,N/A,0.62662,18.830627,C,C
postgres,twitter,99424,30,748505,84060,N/A,0.646896,23.038429,C,C
postgres,twitter,99300,40,740041,83112,N/A,0.606624,22.817227,C,C
postgres,twitter,99163,50,746541,83835,N/A,0.619843,21.76511,C,C
postgres,twitter,98972,60,741102,82985,N/A,0.632734,22.795703,C,C
postgres,twitter,98676,70,737307,82952,N/A,0.615334,30.578811,C,C
postgres,twitter,98572,80,741400,82417,N/A,0.604413,27.697452,C,C
postgres,twitter,98461,90,741610,82957,N/A,0.63524,28.270207,C,C
postgres,twitter,98228,100,733164,82223,N/A,0.61039,25.256908,C,C
cockroachdb,twitter,99822,10,752530,83887,N/A,0.668592,15.897745,C,C
cockroachdb,twitter,99666,20,747610,83642,N/A,0.63851,29.344252,C,C
cockroachdb,twitter,99508,30,738866,83671,N/A,0.620929,16.48458,C,C
cockroachdb,twitter,99286,40,747690,83359,N/A,0.627501,51.121064,C,C
cockroachdb,twitter,99071,50,740492,82819,N/A,0.604035,78.181576,C,C
cockroachdb,twitter,98893,60,734545,82715,N/A,0.624146,83.382518,C,C
cockroachdb,twitter,98775,70,741825,82939,N/A,0.61827,42.49875,C,C
cockroachdb,twitter,98518,80,736788,82865,N/A,0.597259,30.207162,C,C
cockroachdb,twitter,98340,90,733336,82281,N/A,0.632166,75.441619,C,C
cockroachdb,twitter,98240,100,737371,82587,N/A,0.6116,37.787757,C,C
