database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
postgres,twitter,99804,10,748538,83922,N/A,0.445576,26.172993,C,C
postgres,twitter,99595,20,748605,83055,N/A,0.429024,16.555379,C,C
postgres,twitter,99424,30,748505,84060,N/A,0.44123,20.60439,C,C
postgres,twitter,99300,40,740041,83112,N/A,0.429329,20.163722,C,C
postgres,twitter,99163,50,746541,83835,N/A,0.449444,17.917951,C,C
postgres,twitter,98972,60,741102,82985,N/A,0.453773,21.282794,C,C
postgres,twitter,98676,70,737307,82952,N/A,0.440666,28.61484,C,C
postgres,twitter,98572,80,741400,82417,N/A,0.452837,24.086197,C,C
postgres,twitter,98461,90,741610,82957,N/A,0.445507,25.956404,C,C
postgres,twitter,98228,100,733164,82223,N/A,0.450775,21.205788,C,C
rocksdb,twitter,99256,10,726996,83829,N/A,0.411286,14.019861,C,C
rocksdb,twitter,98391,20,706428,83923,N/A,0.42788,15.647111,C,C
rocksdb,twitter,97708,30,689779,83269,N/A,0.423957,16.421995,C,C
rocksdb,twitter,96763,40,669483,83275,N/A,0.410522,14.077765,C,C
rocksdb,twitter,94144,50,620077,83708,N/A,0.388379,27.942784,C,C
rocksdb,twitter,93152,60,605968,83108,N/A,0.368304,42.875477,C,C
rocksdb,twitter,92705,70,599437,83220,N/A,0.373396,54.718469,C,C
rocksdb,twitter,92394,80,596271,83023,N/A,0.364011,64.491634,C,C
rocksdb,twitter,91896,90,590788,82845,N/A,0.360846,62.25495,C,C
rocksdb,twitter,91662,100,586958,82942,N/A,0.362055,82.673078,C,C
cockroachdb,twitter,99822,10,752530,83887,N/A,0.433564,14.535553,C,C
cockroachdb,twitter,99666,20,747610,83642,N/A,0.443933,26.190399,C,C
cockroachdb,twitter,99508,30,738866,83671,N/A,0.457968,14.562233,C,C
cockroachdb,twitter,99286,40,747690,83359,N/A,0.433945,49.416588,C,C
cockroachdb,twitter,99071,50,740492,82819,N/A,0.433009,76.410285,C,C
cockroachdb,twitter,98893,60,734545,82715,N/A,0.435715,86.965898,C,C
cockroachdb,twitter,98775,70,741825,82939,N/A,0.442451,39.441579,C,C
cockroachdb,twitter,98518,80,736788,82865,N/A,0.445231,27.072347,C,C
cockroachdb,twitter,98340,90,733336,82281,N/A,0.428065,71.816904,C,C
cockroachdb,twitter,98240,100,737371,82587,N/A,0.430321,33.678231,C,C
