database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
postgres,cheng,97702,100,978010,1000,10,4.387492,2170.28,C
postgres,cheng,47789,100,956760,1000,20,3.318103,1724.77,C
postgres,cheng,31334,100,941010,1020,30,2.603278,1333.11,C
postgres,cheng,23529,100,942120,1000,40,2.622788,1419.90,C
postgres,cheng,18577,100,929800,1000,50,2.165297,1095.63,C
postgres,cheng,15417,100,925980,1020,60,2.014353,993.46,C
postgres,cheng,13229,100,927010,1050,70,2.066477,1017.27,C
postgres,cheng,11572,100,926720,1040,80,2.005855,985.29,C
postgres,cheng,10276,100,925830,1080,90,1.910868,919.16,C
postgres,cheng,9242,100,925100,1000,100,1.967574,965.56,C
cockroachdb,cheng,96629,100,967280,1000,10,5.147465,2509.67,C
cockroachdb,cheng,42270,100,846380,1000,20,4.133371,2120.18,C
cockroachdb,cheng,28302,100,850050,1020,30,4.022409,2104.82,C
cockroachdb,cheng,20940,100,838560,1000,40,4.070243,2139.05,C
cockroachdb,cheng,17205,100,861200,1000,50,4.12395,2230.10,C
cockroachdb,cheng,14431,100,866820,1020,60,4.258307,2166.66,C
cockroachdb,cheng,12179,100,853510,1050,70,4.011734,2219.17,C
cockroachdb,cheng,11113,100,890000,1040,80,4.22929,2356.54,C
cockroachdb,cheng,9775,100,880740,1080,90,3.962184,2182.89,C
cockroachdb,cheng,8917,100,892600,1000,100,4.081756,2298.98,C
rocksdb,cheng,68579,100,686780,1000,10,2.728617,1372.21,C
rocksdb,cheng,27179,100,544560,1000,20,1.818533,905.80,C
rocksdb,cheng,15403,100,463080,1020,30,1.348154,676.76,C
rocksdb,cheng,10640,100,426560,1000,40,1.18652,638.79,C
rocksdb,cheng,8182,100,410050,1000,50,1.110667,618.85,C
rocksdb,cheng,6796,100,408720,1020,60,1.082197,613.16,C
rocksdb,cheng,5792,100,406420,1050,70,1.076779,610.77,C
rocksdb,cheng,5014,100,402080,1040,80,1.052393,603.00,C
rocksdb,cheng,4377,100,394920,1080,90,1.005419,563.14,C
rocksdb,cheng,4334,100,434300,1000,100,1.20651,683.19,C
