database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,cheng,68579,100,686780,1000,10,0.672777,141.00,C
rocksdb,cheng,27179,100,544560,1000,20,0.506291,110.87,C
rocksdb,cheng,15403,100,463080,1020,30,0.484173,97.62,C
rocksdb,cheng,10640,100,426560,1000,40,0.444128,99.03,C
rocksdb,cheng,8182,100,410050,1000,50,0.442597,90.27,C
rocksdb,cheng,6796,100,408720,1020,60,0.451224,107.41,C
rocksdb,cheng,5792,100,406420,1050,70,0.460939,124.34,C
rocksdb,cheng,5014,100,402080,1040,80,0.430544,121.25,C
rocksdb,cheng,4377,100,394920,1080,90,0.440649,115.39,C
rocksdb,cheng,4334,100,434300,1000,100,0.465286,129.55,C
cockroachdb,cheng,96629,100,967280,1000,10,0.951477,205.34,C
cockroachdb,cheng,42270,100,846380,1000,20,0.823475,178.39,C
cockroachdb,cheng,28302,100,850050,1020,30,0.853468,185.97,C
cockroachdb,cheng,20940,100,838560,1000,40,0.869716,201.97,C
cockroachdb,cheng,17205,100,861200,1000,50,0.896072,196.66,C
cockroachdb,cheng,14431,100,866820,1020,60,0.941898,233.88,C
cockroachdb,cheng,12179,100,853510,1050,70,0.948851,261.99,C
cockroachdb,cheng,11113,100,890000,1040,80,0.989759,271.16,C
cockroachdb,cheng,9775,100,880740,1080,90,0.97632,260.83,C
cockroachdb,cheng,8917,100,892600,1000,100,0.979877,269.57,C
postgres,cheng,97702,100,978010,1000,10,0.933287,205.72,C
postgres,cheng,47789,100,956760,1000,20,0.945638,198.79,C
postgres,cheng,31334,100,941010,1020,30,0.950154,200.22,C
postgres,cheng,23529,100,942120,1000,40,0.980006,223.07,C
postgres,cheng,18577,100,929800,1000,50,0.987882,207.77,C
postgres,cheng,15417,100,925980,1020,60,0.981377,253.22,C
postgres,cheng,13229,100,927010,1050,70,1.044704,290.50,C
postgres,cheng,11572,100,926720,1040,80,1.024223,287.85,C
postgres,cheng,10276,100,925830,1080,90,1.023985,285.38,C
postgres,cheng,9242,100,925100,1000,100,1.007315,278.77,C
