database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,cheng,68579,100,686780,1000,10,0.500223,104.07,C
rocksdb,cheng,27179,100,544560,1000,20,0.402555,82.58,C
rocksdb,cheng,15403,100,463080,1020,30,0.319442,61.66,C
rocksdb,cheng,10640,100,426560,1000,40,0.347134,72.57,C
rocksdb,cheng,8182,100,410050,1000,50,0.314905,67.38,C
rocksdb,cheng,6796,100,408720,1020,60,0.310604,68.08,C
rocksdb,cheng,5792,100,406420,1050,70,0.348719,87.33,C
rocksdb,cheng,5014,100,402080,1040,80,0.342005,86.98,C
rocksdb,cheng,4377,100,394920,1080,90,0.327403,85.39,C
rocksdb,cheng,4334,100,434300,1000,100,0.337035,95.55,C
postgres,cheng,97702,100,978010,1000,10,0.691984,148.03,C
postgres,cheng,47789,100,956760,1000,20,0.6657,145.58,C
postgres,cheng,31334,100,941010,1020,30,0.637375,124.27,C
postgres,cheng,23529,100,942120,1000,40,0.693234,162.26,C
postgres,cheng,18577,100,929800,1000,50,0.704991,154.98,C
postgres,cheng,15417,100,925980,1020,60,0.694727,158.35,C
postgres,cheng,13229,100,927010,1050,70,0.743176,204.93,C
postgres,cheng,11572,100,926720,1040,80,0.753513,206.55,C
postgres,cheng,10276,100,925830,1080,90,0.747397,202.97,C
postgres,cheng,9242,100,925100,1000,100,0.751916,215.79,C
cockroachdb,cheng,96629,100,967280,1000,10,0.675772,145.59,C
cockroachdb,cheng,42270,100,846380,1000,20,0.595699,125.66,C
cockroachdb,cheng,28302,100,850050,1020,30,0.598906,110.19,C
cockroachdb,cheng,20940,100,838560,1000,40,0.62766,138.03,C
cockroachdb,cheng,17205,100,861200,1000,50,0.63236,137.54,C
cockroachdb,cheng,14431,100,866820,1020,60,0.612505,141.13,C
cockroachdb,cheng,12179,100,853510,1050,70,0.693164,177.92,C
cockroachdb,cheng,11113,100,890000,1040,80,0.71399,186.30,C
cockroachdb,cheng,9775,100,880740,1080,90,0.688811,182.45,C
cockroachdb,cheng,8917,100,892600,1000,100,0.727876,190.47,C
