database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
cockroachdb,cheng,96629,100,967280,1000,10,6.334498,32.306824,C,C
cockroachdb,cheng,42270,100,846380,1000,20,5.334638,23.612644,C,C
cockroachdb,cheng,28302,100,850050,1020,30,5.397648,19.784258,C,C
cockroachdb,cheng,20940,100,838560,1000,40,5.218965,18.871293,C,C
cockroachdb,cheng,17205,100,861200,1000,50,7.248107,18.920189,C,C
cockroachdb,cheng,14431,100,866820,1020,60,5.188962,19.493948,C,C
cockroachdb,cheng,12179,100,853510,1050,70,5.271429,18.889907,C,C
cockroachdb,cheng,11113,100,890000,1040,80,5.436001,19.833106,C,C
cockroachdb,cheng,9775,100,880740,1080,90,5.080636,20.600368,C,C
cockroachdb,cheng,8917,100,892600,1000,100,5.266178,20.107089,C,C
postgres,cheng,97702,100,978010,1000,10,5.661688,32.043017,C,C
postgres,cheng,47789,100,956760,1000,20,4.684673,22.928373,C,C
postgres,cheng,31334,100,941010,1020,30,3.734404,18.663018,C,C
postgres,cheng,23529,100,942120,1000,40,3.672461,19.904219,C,C
postgres,cheng,18577,100,929800,1000,50,3.112034,15.189331,C,C
postgres,cheng,15417,100,925980,1020,60,2.885039,15.108843,C,C
postgres,cheng,13229,100,927010,1050,70,2.899761,14.504055,C,C
postgres,cheng,11572,100,926720,1040,80,2.905675,14.768365,C,C
postgres,cheng,10276,100,925830,1080,90,2.747646,14.943039,C,C
postgres,cheng,9242,100,925100,1000,100,2.810262,14.227076,C,C
rocksdb,cheng,68579,100,686780,1000,10,3.771886,22.850461,C,C
rocksdb,cheng,27179,100,544560,1000,20,2.507549,14.686083,C,C
rocksdb,cheng,15403,100,463080,1020,30,1.885646,11.194706,C,C
rocksdb,cheng,10640,100,426560,1000,40,1.711181,9.515034,C,C
rocksdb,cheng,8182,100,410050,1000,50,1.616839,8.830037,C,C
rocksdb,cheng,6796,100,408720,1020,60,1.60698,8.667331,C,C
rocksdb,cheng,5792,100,406420,1050,70,1.525382,8.552273,C,C
rocksdb,cheng,5014,100,402080,1040,80,1.511796,8.727561,C,C
rocksdb,cheng,4377,100,394920,1080,90,1.414225,8.076943,C,C
rocksdb,cheng,4334,100,434300,1000,100,1.675086,8.725478,C,C
