database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,cheng,68579,100,686780,1000,10,0.409302,19.20826,C,C
rocksdb,cheng,27179,100,544560,1000,20,0.362447,13.176728,C,C
rocksdb,cheng,15403,100,463080,1020,30,0.301987,9.925562,C,C
rocksdb,cheng,10640,100,426560,1000,40,0.312116,8.501845,C,C
rocksdb,cheng,8182,100,410050,1000,50,0.332328,8.010901,C,C
rocksdb,cheng,6796,100,408720,1020,60,0.321136,7.386659,C,C
rocksdb,cheng,5792,100,406420,1050,70,0.373944,7.036034,C,C
rocksdb,cheng,5014,100,402080,1040,80,0.398888,7.150028,C,C
rocksdb,cheng,4377,100,394920,1080,90,0.417824,6.232368,C,C
rocksdb,cheng,4334,100,434300,1000,100,0.495307,7.400415,C,C
cockroachdb,cheng,96629,100,967280,1000,10,0.592652,24.504659,C,C
cockroachdb,cheng,42270,100,846380,1000,20,0.527448,17.771277,C,C
cockroachdb,cheng,28302,100,850050,1020,30,0.511431,15.113388,C,C
cockroachdb,cheng,20940,100,838560,1000,40,0.593497,14.872273,C,C
cockroachdb,cheng,17205,100,861200,1000,50,0.637141,14.785265,C,C
cockroachdb,cheng,14431,100,866820,1020,60,0.62972,14.537469,C,C
cockroachdb,cheng,12179,100,853510,1050,70,0.732389,13.486488,C,C
cockroachdb,cheng,11113,100,890000,1040,80,0.811975,14.088111,C,C
cockroachdb,cheng,9775,100,880740,1080,90,0.880472,13.548016,C,C
cockroachdb,cheng,8917,100,892600,1000,100,0.984939,13.56401,C,C
postgres,cheng,97702,100,978010,1000,10,0.592853,26.177204,C,C
postgres,cheng,47789,100,956760,1000,20,0.595607,18.708345,C,C
postgres,cheng,31334,100,941010,1020,30,0.583642,15.85218,C,C
postgres,cheng,23529,100,942120,1000,40,0.651118,18.187648,C,C
postgres,cheng,18577,100,929800,1000,50,0.707116,13.213221,C,C
postgres,cheng,15417,100,925980,1020,60,0.724889,13.413211,C,C
postgres,cheng,13229,100,927010,1050,70,0.833749,12.020842,C,C
postgres,cheng,11572,100,926720,1040,80,0.888076,13.275633,C,C
postgres,cheng,10276,100,925830,1080,90,0.96406,11.906424,C,C
postgres,cheng,9242,100,925100,1000,100,1.087824,11.782634,C,C
