database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
postgres,cheng,9759,100,98580,1000,10,0.101058,4.790841,C,C
postgres,cheng,9565,100,192280,1000,20,0.195128,6.608568,C,C
postgres,cheng,9430,100,283890,1020,30,0.297069,7.497423,C,C
postgres,cheng,9336,100,374400,1000,40,0.386873,7.823596,C,C
postgres,cheng,9307,100,466300,1000,50,0.489755,8.92191,C,C
postgres,cheng,9262,100,556680,1020,60,0.598544,9.404599,C,C
postgres,cheng,9269,100,649810,1050,70,0.704017,11.411199,C,C
postgres,cheng,9250,100,740960,1040,80,0.799503,11.715914,C,C
postgres,cheng,9230,100,831690,1080,90,0.875859,12.328869,C,C
postgres,cheng,9233,100,924200,1000,100,0.972826,14.516027,C,C
rocksdb,cheng,6626,100,67250,1000,10,0.077058,3.662004,C,C
rocksdb,cheng,5223,100,105440,1000,20,0.135476,4.837979,C,C
rocksdb,cheng,4512,100,136350,1020,30,0.146578,4.789251,C,C
rocksdb,cheng,4159,100,167320,1000,40,0.181323,5.463626,C,C
rocksdb,cheng,4060,100,203950,1000,50,0.213853,5.767202,C,C
rocksdb,cheng,3835,100,231060,1020,60,0.270035,5.773199,C,C
rocksdb,cheng,3931,100,276150,1050,70,0.326121,6.570485,C,C
rocksdb,cheng,4015,100,322160,1040,80,0.350743,7.390693,C,C
rocksdb,cheng,3871,100,349380,1080,90,0.388216,7.329075,C,C
rocksdb,cheng,4240,100,424900,1000,100,0.457299,8.556163,C,C
cockroachdb,cheng,9721,100,98200,1000,10,0.122838,4.570089,C,C
cockroachdb,cheng,9109,100,183160,1000,20,0.177912,6.113501,C,C
cockroachdb,cheng,8344,100,251310,1020,30,0.257476,7.120596,C,C
cockroachdb,cheng,8391,100,336600,1000,40,0.349021,8.48946,C,C
cockroachdb,cheng,8419,100,421900,1000,50,0.438344,10.200866,C,C
cockroachdb,cheng,8651,100,520020,1020,60,0.525693,12.037194,C,C
cockroachdb,cheng,8811,100,617750,1050,70,0.653535,13.041874,C,C
cockroachdb,cheng,8936,100,715840,1040,80,0.756566,15.948748,C,C
cockroachdb,cheng,8905,100,802440,1080,90,0.854385,16.93577,C,C
cockroachdb,cheng,8945,100,895400,1000,100,0.940229,19.803299,C,C
