database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,cheng,6626,100,67250,1000,10,0.073366,2.718661,C,C
rocksdb,cheng,5223,100,105440,1000,20,0.091614,3.451525,C,C
rocksdb,cheng,4512,100,136350,1020,30,0.11763,4.049408,C,C
rocksdb,cheng,4159,100,167320,1000,40,0.149337,4.120887,C,C
rocksdb,cheng,4060,100,203950,1000,50,0.165634,4.525885,C,C
rocksdb,cheng,3835,100,231060,1020,60,0.215331,5.370099,C,C
rocksdb,cheng,3931,100,276150,1050,70,0.247576,6.080273,C,C
rocksdb,cheng,4015,100,322160,1040,80,0.329369,6.208174,C,C
rocksdb,cheng,3871,100,349380,1080,90,0.389285,6.114308,C,C
rocksdb,cheng,4240,100,424900,1000,100,0.502264,7.536696,C,C
postgres,cheng,9759,100,98580,1000,10,0.074587,3.007778,C,C
postgres,cheng,9565,100,192280,1000,20,0.152723,4.709867,C,C
postgres,cheng,9430,100,283890,1020,30,0.196064,6.213655,C,C
postgres,cheng,9336,100,374400,1000,40,0.292598,6.479356,C,C
postgres,cheng,9307,100,466300,1000,50,0.383744,8.024353,C,C
postgres,cheng,9262,100,556680,1020,60,0.466951,8.582344,C,C
postgres,cheng,9269,100,649810,1050,70,0.603318,10.311768,C,C
postgres,cheng,9250,100,740960,1040,80,0.715356,10.142667,C,C
postgres,cheng,9230,100,831690,1080,90,0.873358,10.865235,C,C
postgres,cheng,9233,100,924200,1000,100,1.077213,12.091837,C,C
cockroachdb,cheng,9721,100,98200,1000,10,0.091589,3.357709,C,C
cockroachdb,cheng,9109,100,183160,1000,20,0.152375,4.945326,C,C
cockroachdb,cheng,8344,100,251310,1020,30,0.181091,5.571826,C,C
cockroachdb,cheng,8391,100,336600,1000,40,0.255039,6.480475,C,C
cockroachdb,cheng,8419,100,421900,1000,50,0.326078,7.576949,C,C
cockroachdb,cheng,8651,100,520020,1020,60,0.408912,8.74683,C,C
cockroachdb,cheng,8811,100,617750,1050,70,0.530216,9.974912,C,C
cockroachdb,cheng,8936,100,715840,1040,80,0.663973,10.864249,C,C
cockroachdb,cheng,8905,100,802440,1080,90,0.795397,11.771023,C,C
cockroachdb,cheng,8945,100,895400,1000,100,0.978696,12.414527,C,C
