database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,rubis,48477,10,292733,45939,N/A,0.359262,99.91,C
rocksdb,rubis,47007,20,281030,45674,N/A,0.394803,115.54,C
rocksdb,rubis,45794,30,272468,45784,N/A,0.427903,124.61,C
rocksdb,rubis,44961,40,267262,44974,N/A,0.434153,133.30,C
rocksdb,rubis,45342,50,271524,44691,N/A,0.458568,146.06,C
rocksdb,rubis,45666,60,273845,44974,N/A,0.450276,154.77,C
rocksdb,rubis,45753,70,274881,44807,N/A,0.455246,163.23,C
rocksdb,rubis,45701,80,275456,44755,N/A,0.496159,166.66,C
rocksdb,rubis,45637,90,274603,44795,N/A,0.513011,174.23,C
rocksdb,rubis,45753,100,274843,44674,N/A,0.527491,183.95,C
postgres,rubis,49762,10,302778,45927,N/A,0.383038,104.72,C
postgres,rubis,49587,20,301849,45906,N/A,0.425697,126.87,C
postgres,rubis,49371,30,300814,45531,N/A,0.473182,145.17,C
postgres,rubis,49195,40,300302,44913,N/A,0.485865,162.86,C
postgres,rubis,49046,50,299442,44833,N/A,0.5243,175.37,C
postgres,rubis,48856,60,298471,44719,N/A,0.545837,188.05,C
postgres,rubis,48706,70,298698,44574,N/A,0.531443,201.87,C
postgres,rubis,48593,80,297479,44872,N/A,0.578952,208.13,C
postgres,rubis,48476,90,296881,44731,N/A,0.59739,217.17,C
postgres,rubis,48403,100,297615,44245,N/A,0.619714,225.63,C
cockroachdb,rubis,50000,10,303496,45612,N/A,0.401373,104.45,C
cockroachdb,rubis,49910,20,303452,46197,N/A,0.460359,127.96,C
cockroachdb,rubis,49738,30,302216,45767,N/A,0.491511,146.26,C
cockroachdb,rubis,49259,40,301296,45319,N/A,0.484009,163.14,C
cockroachdb,rubis,49032,50,299392,44875,N/A,0.520001,175.93,C
cockroachdb,rubis,48980,60,299275,44874,N/A,0.545294,183.29,C
cockroachdb,rubis,48900,70,298904,44834,N/A,0.561233,196.62,C
cockroachdb,rubis,48783,80,298104,44755,N/A,0.566316,200.30,C
cockroachdb,rubis,48775,90,298761,44991,N/A,0.584734,206.93,C
cockroachdb,rubis,48728,100,298425,45039,N/A,0.569645,212.42,C
cockroachdb,tpcc,87311,10,2802908,602406,N/A,3.634427,714.37,C
cockroachdb,tpcc,88850,20,2799594,586501,N/A,3.797393,776.06,C
cockroachdb,tpcc,87697,30,2741381,574153,N/A,2.860915,607.88,I
