database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
postgres,rubis,49762,10,302778,45927,N/A,0.262842,68.22,C
postgres,rubis,49587,20,301849,45906,N/A,0.290581,66.86,C
postgres,rubis,49371,30,300814,45531,N/A,0.268933,66.12,C
postgres,rubis,49195,40,300302,44913,N/A,0.293237,65.73,C
postgres,rubis,49046,50,299442,44833,N/A,0.297428,65.19,C
postgres,rubis,48856,60,298471,44719,N/A,0.268934,65.17,C
postgres,rubis,48706,70,298698,44574,N/A,0.290714,65.11,C
postgres,rubis,48593,80,297479,44872,N/A,0.282903,64.71,C
postgres,rubis,48476,90,296881,44731,N/A,0.281924,64.11,C
postgres,rubis,48403,100,297615,44245,N/A,0.287448,64.41,C
postgres,tpcc,87076,10,2776149,595568,N/A,2.455908,407.42,C
postgres,tpcc,86111,20,2693424,571919,N/A,2.362772,396.70,C
postgres,tpcc,85932,30,2652622,555595,N/A,2.313392,392.74,I
postgres,tpcc,85173,40,2575131,534840,N/A,2.173157,380.64,I
postgres,tpcc,84858,50,2519399,519947,N/A,1.978895,375.67,C
postgres,tpcc,83737,60,2481155,511883,N/A,1.968626,370.69,C
postgres,tpcc,82470,70,2403166,494669,N/A,1.915022,362.75,C
postgres,tpcc,83133,80,2391637,483579,N/A,1.883238,363.34,C
postgres,tpcc,82659,90,2337635,472417,N/A,1.789844,357.66,C
postgres,tpcc,80099,100,2269541,465143,N/A,1.752204,348.02,C
postgres,twitter,49906,10,348878,48328,N/A,0.27729,64.38,C
postgres,twitter,49778,20,350981,48843,N/A,0.291035,62.61,C
postgres,twitter,49673,30,345599,48513,N/A,0.287242,60.98,C
postgres,twitter,49619,40,346707,48440,N/A,0.260692,60.29,C
postgres,twitter,49570,50,347398,48927,N/A,0.2792,59.79,C
postgres,twitter,49443,60,347035,48259,N/A,0.265343,60.27,C
postgres,twitter,49293,70,344825,48083,N/A,0.262016,59.60,C
