database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
cockroachdb,rubis,50000,10,303496,45612,N/A,0.217963,48.70,C
cockroachdb,rubis,49910,20,303452,46197,N/A,0.224438,47.61,C
cockroachdb,rubis,49738,30,302216,45767,N/A,0.198391,47.08,C
cockroachdb,rubis,49259,40,301296,45319,N/A,0.229905,46.86,C
cockroachdb,rubis,49032,50,299392,44875,N/A,0.226791,46.59,C
cockroachdb,rubis,48980,60,299275,44874,N/A,0.222426,46.62,C
cockroachdb,rubis,48900,70,298904,44834,N/A,0.224518,46.62,C
cockroachdb,rubis,48783,80,298104,44755,N/A,0.225435,46.18,C
cockroachdb,rubis,48775,90,298761,44991,N/A,0.207712,46.48,C
cockroachdb,rubis,48728,100,298425,45039,N/A,0.219818,46.42,C
cockroachdb,twitter,49912,10,349088,48797,N/A,0.229199,51.00,C
cockroachdb,twitter,49787,20,348236,48191,N/A,0.236066,50.17,C
cockroachdb,twitter,49703,30,346672,48631,N/A,0.240262,49.42,C
cockroachdb,twitter,49649,40,343584,48403,N/A,0.237995,49.04,C
cockroachdb,twitter,49512,50,345332,48532,N/A,0.233922,49.21,C
cockroachdb,twitter,49473,60,345449,48168,N/A,0.226664,49.48,C
cockroachdb,twitter,49304,70,345437,48130,N/A,0.203944,49.57,C
cockroachdb,twitter,49276,80,344531,47988,N/A,0.210335,49.44,C
cockroachdb,twitter,49204,90,344112,47841,N/A,0.237684,49.26,C
cockroachdb,twitter,49024,100,343521,48089,N/A,0.202024,49.00,C
rocksdb,rubis,48477,10,292733,45939,N/A,0.219497,46.68,C
rocksdb,rubis,47007,20,281030,45674,N/A,0.223782,43.83,C
rocksdb,rubis,45794,30,272468,45784,N/A,0.206356,42.10,C
rocksdb,rubis,44961,40,267262,44974,N/A,0.206891,41.41,C
rocksdb,rubis,45342,50,271524,44691,N/A,0.194891,42.34,C
rocksdb,rubis,45666,60,273845,44974,N/A,0.205206,42.48,C
rocksdb,rubis,45753,70,274881,44807,N/A,0.17977,42.68,C
rocksdb,rubis,45701,80,275456,44755,N/A,0.211545,42.65,C
rocksdb,rubis,45637,90,274603,44795,N/A,0.199278,42.68,C
rocksdb,rubis,45753,100,274843,44674,N/A,0.207143,42.64,C
rocksdb,twitter,49718,10,344621,48378,N/A,0.235283,50.40,C
rocksdb,twitter,49476,20,339548,48864,N/A,0.203621,48.83,C
rocksdb,twitter,49231,30,335702,48720,N/A,0.231927,47.97,C
rocksdb,twitter,48834,40,328358,48615,N/A,0.222516,47.03,C
rocksdb,twitter,47618,50,307082,48295,N/A,0.220684,44.30,C
rocksdb,twitter,47049,60,300340,48520,N/A,0.210761,43.39,C
rocksdb,twitter,46877,70,299909,48174,N/A,0.216315,43.37,C
rocksdb,twitter,46489,80,294692,48050,N/A,0.1976,42.84,C
rocksdb,twitter,46477,90,295411,48014,N/A,0.199327,42.82,C
rocksdb,twitter,46120,100,290779,47660,N/A,0.207631,42.02,C
cockroachdb,tpcc,87311,10,2802908,602406,N/A,1.964693,320.07,C
cockroachdb,tpcc,88850,20,2799594,586501,N/A,1.978797,323.71,C
cockroachdb,tpcc,87697,30,2741381,574153,N/A,1.906302,318.52,I
cockroachdb,tpcc,88028,40,2709111,563046,N/A,1.850838,317.28,C
cockroachdb,tpcc,85538,50,2622335,549404,N/A,1.768713,309.42,C
cockroachdb,tpcc,87266,60,2622739,539738,N/A,1.733104,311.12,C
cockroachdb,tpcc,84903,70,2549459,529933,N/A,1.61558,305.07,C
cockroachdb,tpcc,84910,80,2516729,520034,N/A,1.529505,303.36,C
cockroachdb,tpcc,85513,90,2509820,512998,N/A,1.546387,303.12,C
cockroachdb,tpcc,84130,100,2445652,501054,N/A,1.538618,323.93,C
postgres,tpcc,87076,10,2776149,595568,N/A,1.934924,318.16,C
postgres,tpcc,86111,20,2693424,571919,N/A,1.905291,313.12,C
postgres,tpcc,85932,30,2652622,555595,N/A,1.846423,311.34,I
postgres,tpcc,85173,40,2575131,534840,N/A,1.645569,306.56,I
postgres,tpcc,84858,50,2519399,519947,N/A,1.572385,303.33,C
postgres,tpcc,83737,60,2481155,511883,N/A,1.512098,300.90,C
postgres,tpcc,82470,70,2403166,494669,N/A,1.517629,320.57,C
postgres,tpcc,83133,80,2391637,483579,N/A,1.433039,272.53,C
postgres,tpcc,82659,90,2337635,472417,N/A,1.367916,267.41,C
postgres,tpcc,80099,100,2269541,465143,N/A,1.338298,259.36,C
postgres,rubis,49762,10,302778,45927,N/A,0.213031,48.38,C
postgres,rubis,49587,20,301849,45906,N/A,0.225082,47.39,C
postgres,rubis,49371,30,300814,45531,N/A,0.206982,46.82,C
postgres,rubis,49195,40,300302,44913,N/A,0.21121,46.89,C
postgres,rubis,49046,50,299442,44833,N/A,0.206395,46.37,C
postgres,rubis,48856,60,298471,44719,N/A,0.227234,46.42,C
postgres,rubis,48706,70,298698,44574,N/A,0.19732,46.67,C
postgres,rubis,48593,80,297479,44872,N/A,0.222692,46.21,C
postgres,rubis,48476,90,296881,44731,N/A,0.227133,45.97,C
postgres,rubis,48403,100,297615,44245,N/A,0.222333,46.16,C
postgres,twitter,49906,10,348878,48328,N/A,0.233662,51.23,C
postgres,twitter,49778,20,350981,48843,N/A,0.207229,50.30,C
postgres,twitter,49673,30,345599,48513,N/A,0.241315,49.32,C
postgres,twitter,49619,40,346707,48440,N/A,0.239757,49.66,C
postgres,twitter,49570,50,347398,48927,N/A,0.205315,49.56,C
postgres,twitter,49443,60,347035,48259,N/A,0.220952,49.65,C
postgres,twitter,49293,70,344825,48083,N/A,0.226995,49.45,C
postgres,twitter,49216,80,345691,48131,N/A,0.231905,49.44,C
postgres,twitter,49124,90,344489,47928,N/A,0.244082,49.19,C
postgres,twitter,49027,100,343044,47640,N/A,0.22004,49.12,C
rocksdb,tpcc,84061,10,2711625,590375,N/A,1.90815,311.76,C
rocksdb,tpcc,81654,20,2639767,575753,N/A,1.876843,308.09,C
rocksdb,tpcc,78853,30,2532605,554636,N/A,1.676424,301.54,C
rocksdb,tpcc,78531,40,2502584,539404,N/A,1.625548,300.60,C
rocksdb,tpcc,76306,50,2417230,525459,N/A,1.497306,294.94,C
rocksdb,tpcc,76415,60,2402817,514098,N/A,1.489215,294.54,C
rocksdb,tpcc,76301,70,2361326,501676,N/A,1.467305,316.81,C
rocksdb,tpcc,72906,80,2284133,490284,N/A,1.404697,311.44,C
rocksdb,tpcc,74491,90,2297134,484483,N/A,1.366462,258.17,C
rocksdb,tpcc,72687,100,2233514,472090,N/A,1.301919,251.52,C
