database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,rubis,803,100,6191,2515,N/A,0.013094,2.69,C
rocksdb,rubis,1694,100,12704,4696,N/A,0.019693,4.47,C
rocksdb,rubis,3504,100,24903,7802,N/A,0.026694,9.48,C
rocksdb,rubis,7363,100,48533,12073,N/A,0.074026,19.57,C
rocksdb,rubis,14802,100,92712,18500,N/A,0.146007,45.58,C
rocksdb,rubis,29913,100,182398,31366,N/A,0.291777,103.72,C
rocksdb,rubis,59994,100,358393,56948,N/A,0.692099,258.54,C
rocksdb,rubis,120550,100,715688,107642,N/A,1.880269,695.13,C
rocksdb,rubis,241384,100,1426709,209418,N/A,4.697013,1672.50,C
rocksdb,rubis,482693,100,2849541,411494,N/A,11.436724,4282.26,C
rocksdb,rubis,965723,100,5694298,816005,N/A,27.950673,10430.02,C
rocksdb,tpcc,1402,100,58559,24485,N/A,0.061365,16.08,C
rocksdb,tpcc,3108,100,120505,45970,N/A,0.103309,34.34,C
rocksdb,tpcc,5817,100,215210,71084,N/A,0.19087,56.62,C
rocksdb,tpcc,11843,100,404052,117098,N/A,0.377468,121.82,C
rocksdb,tpcc,24477,100,789709,199965,N/A,0.875187,242.48,C
rocksdb,tpcc,48217,100,1507931,341553,N/A,2.047852,519.44,C
rocksdb,tpcc,95045,100,2881027,582563,N/A,4.504731,1143.69,C
rocksdb,tpcc,188674,100,5604325,1004556,N/A,9.886881,2557.59,C
rocksdb,tpcc,377636,100,10893963,1732496,N/A,20.776328,5684.14,C
rocksdb,tpcc,756092,100,21426307,3066796,N/A,52.029518,12593.21,C
rocksdb,tpcc,1514105,100,42274017,5541737,N/A,137.201088,30945.27,C
cockroachdb,rubis,1006,50,8376,3183,N/A,0.015039,3.07,C
cockroachdb,rubis,2011,50,15807,5271,N/A,0.018314,5.64,C
cockroachdb,rubis,4025,50,28966,8170,N/A,0.041696,11.21,C
cockroachdb,rubis,8030,50,53620,12192,N/A,0.061202,22.38,C
cockroachdb,rubis,16049,50,101804,18788,N/A,0.162379,49.66,C
cockroachdb,rubis,32139,50,198652,31660,N/A,0.307378,113.31,C
cockroachdb,rubis,64220,50,390492,57220,N/A,0.709957,245.41,C
cockroachdb,rubis,128430,50,774226,108938,N/A,1.756039,575.16,C
cockroachdb,rubis,257261,50,1548254,211181,N/A,4.379361,1431.67,C
cockroachdb,rubis,515325,50,3088292,417025,N/A,10.690787,3480.79,C
cockroachdb,rubis,1029093,50,6162204,827140,N/A,24.946358,8519.30,C
cockroachdb,twitter,1017,50,8634,3506,N/A,0.012482,3.58,C
cockroachdb,twitter,2034,50,16044,5929,N/A,0.01737,6.00,C
cockroachdb,twitter,4062,50,29111,9410,N/A,0.045408,9.59,C
cockroachdb,twitter,8113,50,55227,14528,N/A,0.059468,20.19,C
cockroachdb,twitter,16232,50,107794,21879,N/A,0.147789,41.28,C
cockroachdb,twitter,32477,50,221284,35272,N/A,0.344253,100.61,C
cockroachdb,twitter,64908,50,463516,59984,N/A,0.829704,268.91,C
cockroachdb,twitter,130157,50,1004606,103341,N/A,2.347468,785.91,C
cockroachdb,twitter,259670,50,2158566,181912,N/A,6.161422,2196.08,C
cockroachdb,twitter,519776,50,4548563,318776,N/A,14.980039,5437.64,C
cockroachdb,twitter,1039604,50,9245578,558361,N/A,31.856793,12175.99,C
postgres,twitter,1011,100,8556,3504,N/A,0.013515,3.57,C
postgres,twitter,2017,100,15402,5765,N/A,0.018237,5.91,C
postgres,twitter,3977,100,29193,9446,N/A,0.033205,10.73,C
postgres,twitter,8045,100,55002,14351,N/A,0.090455,20.45,C
postgres,twitter,16035,100,106956,21971,N/A,0.158471,37.82,C
postgres,twitter,32100,100,217777,34869,N/A,0.371148,102.76,C
postgres,twitter,64297,100,461582,59015,N/A,0.88248,295.90,C
postgres,twitter,128850,100,1002036,102134,N/A,2.666312,942.21,C
postgres,twitter,257920,100,2159484,180527,N/A,7.63614,2889.52,C
postgres,twitter,516497,100,4545643,318296,N/A,20.40475,8619.46,C
postgres,twitter,1033128,100,9255091,556942,N/A,47.202503,21188.34,C
postgres,tpcc,1559,50,61996,25412,N/A,0.06405,16.73,C
postgres,tpcc,2840,50,108815,41352,N/A,0.095694,31.79,I
postgres,tpcc,6717,50,237386,79043,N/A,0.228502,68.53,C
postgres,tpcc,13016,50,434819,125682,N/A,0.434585,131.28,C
postgres,tpcc,28902,50,903953,221594,N/A,0.595694,194.63,I
postgres,tpcc,56153,50,1707685,377477,N/A,2.168522,503.05,C
postgres,tpcc,111608,50,3285875,643549,N/A,4.867145,1062.54,C
postgres,tpcc,222615,50,6356005,1102065,N/A,11.020247,2517.92,C
postgres,tpcc,442989,50,12442735,1931844,N/A,23.589949,5581.87,C
postgres,tpcc,886437,50,24420983,3434033,N/A,53.69717,12602.71,C
postgres,tpcc,1777734,50,48247456,6233519,N/A,135.941705,28974.96,C
rocksdb,twitter,988,100,8311,3490,N/A,0.010429,3.33,C
rocksdb,twitter,1966,100,15049,5772,N/A,0.024352,6.35,C
rocksdb,twitter,3905,100,28046,9257,N/A,0.031122,10.18,C
rocksdb,twitter,7732,100,52259,14246,N/A,0.055715,18.84,C
rocksdb,twitter,15350,100,99424,22096,N/A,0.120845,37.19,C
rocksdb,twitter,30380,100,191761,34975,N/A,0.29439,81.70,C
rocksdb,twitter,60235,100,383497,59224,N/A,0.702853,188.64,C
rocksdb,twitter,120039,100,773631,102976,N/A,1.894158,549.11,C
rocksdb,twitter,237157,100,1534285,179762,N/A,4.72411,1411.04,C
rocksdb,twitter,471728,100,3050486,317941,N/A,11.810057,3758.33,C
rocksdb,twitter,938059,100,5972994,557522,N/A,27.082281,8861.22,C
cockroachdb,tpcc,1690,100,63928,25747,N/A,0.066793,18.65,C
cockroachdb,tpcc,3006,100,112432,42027,N/A,0.099265,32.70,C
cockroachdb,tpcc,7287,100,236383,73464,N/A,0.238533,61.86,C
cockroachdb,tpcc,14263,100,454555,126130,N/A,0.450906,137.12,C
cockroachdb,tpcc,27641,100,846993,211548,N/A,0.915832,239.26,C
cockroachdb,tpcc,55022,100,1637972,363635,N/A,2.217625,572.13,I
cockroachdb,tpcc,108552,100,3151500,622270,N/A,5.000006,1283.59,C
cockroachdb,tpcc,220510,100,6170109,1062722,N/A,11.166561,2905.02,C
cockroachdb,tpcc,438806,100,12015687,1845689,N/A,24.879567,6135.73,C
cockroachdb,tpcc,875087,100,23566290,3282072,N/A,58.856847,15010.60,C
cockroachdb,tpcc,1752078,100,46521224,5985503,N/A,156.20069,35434.35,C
rocksdb,rubis,871,50,6863,2753,N/A,0.012209,2.88,C
rocksdb,rubis,1793,50,13641,4888,N/A,0.021449,5.20,C
rocksdb,rubis,3639,50,25700,7901,N/A,0.029229,8.89,C
rocksdb,rubis,7411,50,49028,12171,N/A,0.05254,18.81,C
rocksdb,rubis,14888,50,93354,18633,N/A,0.144608,41.92,C
rocksdb,rubis,29823,50,181561,31313,N/A,0.274762,90.01,C
rocksdb,rubis,59328,50,353349,57184,N/A,0.639226,215.83,C
rocksdb,rubis,118977,50,702514,107486,N/A,1.576867,513.09,C
rocksdb,rubis,237763,50,1399622,208794,N/A,3.847506,1225.19,C
rocksdb,rubis,475575,50,2786882,412194,N/A,9.073143,2958.74,C
rocksdb,rubis,950974,50,5572514,817564,N/A,22.701466,7299.47,C
cockroachdb,rubis,1010,100,8453,3226,N/A,0.015668,3.57,C
cockroachdb,rubis,1991,100,15697,5290,N/A,0.025149,6.12,C
cockroachdb,rubis,3997,100,29180,8207,N/A,0.045091,10.71,C
cockroachdb,rubis,7984,100,53965,12026,N/A,0.08208,22.86,C
cockroachdb,rubis,15992,100,102408,18582,N/A,0.163722,51.80,C
cockroachdb,rubis,31977,100,197367,31669,N/A,0.359583,128.10,C
cockroachdb,rubis,64045,100,389659,57142,N/A,0.816028,305.80,C
cockroachdb,rubis,127835,100,772458,107950,N/A,2.151598,780.74,C
cockroachdb,rubis,255496,100,1538116,208611,N/A,5.363493,2009.66,C
cockroachdb,rubis,511321,100,3071562,413300,N/A,12.976158,4898.41,C
cockroachdb,rubis,1022997,100,6142190,821566,N/A,31.398181,12155.73,C
postgres,rubis,1006,50,8463,3218,N/A,0.010142,3.32,C
postgres,rubis,2023,50,15870,5350,N/A,0.02363,5.66,C
postgres,rubis,4021,50,29261,8296,N/A,0.042855,11.46,C
postgres,rubis,8049,50,53847,12123,N/A,0.07738,22.66,C
postgres,rubis,16056,50,102479,18799,N/A,0.160652,50.06,C
postgres,rubis,32179,50,198370,31716,N/A,0.334253,113.91,C
postgres,rubis,64294,50,391158,57174,N/A,0.710566,247.37,C
postgres,rubis,128614,50,776478,108531,N/A,1.804994,580.93,C
postgres,rubis,257149,50,1545510,211002,N/A,4.354979,1383.06,C
postgres,rubis,514379,50,3081473,416560,N/A,10.457698,3469.56,C
postgres,rubis,1028690,50,6165842,825181,N/A,24.970134,8555.54,C
cockroachdb,twitter,1014,100,8677,3580,N/A,0.015105,3.32,C
cockroachdb,twitter,2011,100,15796,5939,N/A,0.01832,5.71,C
cockroachdb,twitter,4034,100,29573,9633,N/A,0.042997,10.82,C
cockroachdb,twitter,8043,100,54526,14123,N/A,0.05885,18.10,C
cockroachdb,twitter,16106,100,107399,21815,N/A,0.151767,42.03,C
cockroachdb,twitter,32181,100,218122,34971,N/A,0.372969,102.69,C
cockroachdb,twitter,64401,100,461205,59561,N/A,0.899421,278.95,C
cockroachdb,twitter,128689,100,994922,102429,N/A,2.645225,896.63,C
cockroachdb,twitter,256727,100,2120512,180197,N/A,7.489351,2805.13,C
cockroachdb,twitter,513190,100,4400570,318671,N/A,19.568226,8101.83,C
cockroachdb,twitter,1025246,100,8939662,556197,N/A,45.34525,19600.69,C
postgres,tpcc,1792,100,67382,27474,N/A,0.053035,19.64,C
postgres,tpcc,3221,100,113831,42266,N/A,0.12161,32.93,C
postgres,tpcc,6339,100,211011,70040,N/A,0.21844,61.28,C
postgres,tpcc,13657,100,415699,115297,N/A,0.398055,111.59,C
postgres,tpcc,27053,100,804194,198130,N/A,0.851242,219.85,C
postgres,tpcc,52930,100,1525392,336201,N/A,2.09363,524.66,I
postgres,tpcc,106914,100,2972843,571853,N/A,4.718557,1145.88,C
postgres,tpcc,210643,100,5707765,972422,N/A,10.037322,2393.97,C
postgres,tpcc,427535,100,11331147,1682928,N/A,21.867793,5464.18,C
postgres,tpcc,851346,100,22087897,2969990,N/A,53.709278,13109.84,C
postgres,tpcc,1698605,100,43431622,5351888,N/A,44.974686,6975.06,I
postgres,rubis,1003,100,8302,3181,N/A,0.014752,3.33,C
postgres,rubis,1988,100,15673,5271,N/A,0.025102,6.12,C
postgres,rubis,3997,100,28965,8191,N/A,0.036826,11.34,C
postgres,rubis,7915,100,53293,12088,N/A,0.079379,23.38,C
postgres,rubis,15869,100,101267,18657,N/A,0.16834,54.73,C
postgres,rubis,31755,100,197435,31416,N/A,0.354279,129.33,C
postgres,rubis,63343,100,387390,56364,N/A,0.837869,323.72,C
postgres,rubis,126718,100,769316,106414,N/A,2.157086,796.85,C
postgres,rubis,253885,100,1533108,208424,N/A,5.3172,1949.01,C
postgres,rubis,507729,100,3060257,409366,N/A,13.098743,4770.96,C
postgres,rubis,1015023,100,6111542,811160,N/A,31.858545,11901.52,C
postgres,twitter,1018,50,8679,3676,N/A,0.016969,3.94,C
postgres,twitter,2028,50,15680,5921,N/A,0.02088,5.62,C
postgres,twitter,4051,50,29433,9571,N/A,0.042784,10.58,C
postgres,twitter,8112,50,55353,14475,N/A,0.070897,20.19,C
postgres,twitter,16212,50,107924,21942,N/A,0.170678,40.77,C
postgres,twitter,32422,50,220249,35383,N/A,0.340552,91.89,C
postgres,twitter,64938,50,466340,59429,N/A,0.812345,273.37,C
