database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
cockroachdb,twitter,1017,50,8634,3506,N/A,0.01113,1.82,C
cockroachdb,twitter,2034,50,16044,5929,N/A,0.018866,3.11,C
cockroachdb,twitter,4062,50,29111,9410,N/A,0.020781,5.33,C
cockroachdb,twitter,8113,50,55227,14528,N/A,0.037723,11.93,C
cockroachdb,twitter,16232,50,107794,21879,N/A,0.09557,18.53,C
cockroachdb,twitter,32477,50,221284,35272,N/A,0.188971,38.80,C
cockroachdb,twitter,64908,50,463516,59984,N/A,0.368111,82.77,C
cockroachdb,twitter,130157,50,1004606,103341,N/A,0.881508,179.69,C
cockroachdb,twitter,259670,50,2158566,181912,N/A,2.146466,402.36,C
cockroachdb,twitter,519776,50,4548563,318776,N/A,4.928449,878.38,C
cockroachdb,twitter,1039604,50,9245578,558361,N/A,9.784574,1818.07,C
cockroachdb,twitter,1014,100,8677,3580,N/A,0.013156,1.82,C
cockroachdb,twitter,2011,100,15796,5939,N/A,0.016322,3.00,C
cockroachdb,twitter,4034,100,29573,9633,N/A,0.031235,5.33,C
cockroachdb,twitter,8043,100,54526,14123,N/A,0.049586,9.23,C
cockroachdb,twitter,16106,100,107399,21815,N/A,0.088245,18.35,C
cockroachdb,twitter,32181,100,218122,34971,N/A,0.172362,37.84,C
cockroachdb,twitter,64401,100,461205,59561,N/A,0.375392,81.10,C
cockroachdb,twitter,128689,100,994922,102429,N/A,0.846406,171.98,C
cockroachdb,twitter,256727,100,2120512,180197,N/A,2.096396,382.69,C
cockroachdb,twitter,513190,100,4400570,318671,N/A,4.884995,824.79,C
cockroachdb,twitter,1025246,100,8939662,556197,N/A,9.701695,1726.86,C
postgres,rubis,1006,50,8463,3218,N/A,0.012723,1.89,C
postgres,rubis,2023,50,15870,5350,N/A,0.01316,3.62,C
postgres,rubis,4021,50,29261,8296,N/A,0.022003,6.21,C
postgres,rubis,8049,50,53847,12123,N/A,0.052376,11.35,C
postgres,rubis,16056,50,102479,18799,N/A,0.085122,22.07,C
postgres,rubis,32179,50,198370,31716,N/A,0.178633,44.22,C
postgres,rubis,64294,50,391158,57174,N/A,0.365824,83.91,C
postgres,rubis,128614,50,776478,108531,N/A,0.744671,159.19,C
postgres,rubis,257149,50,1545510,211002,N/A,1.661345,312.17,C
postgres,rubis,514379,50,3081473,416560,N/A,3.618185,746.94,C
postgres,rubis,1028690,50,6165842,825181,N/A,7.327987,1465.82,C
postgres,tpcc,1559,50,61996,25412,N/A,0.033973,8.23,C
postgres,tpcc,2840,50,108815,41352,N/A,0.078212,14.82,I
postgres,tpcc,6717,50,237386,79043,N/A,0.189058,32.78,C
