database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
cockroachdb,tpcc,1870,50,72987,28939,N/A,0.064282,10.93,C
cockroachdb,tpcc,3161,50,126690,47788,N/A,0.07911,17.44,C
cockroachdb,tpcc,6811,50,245401,80141,N/A,0.15322,34.78,C
cockroachdb,tpcc,14590,50,488660,135338,N/A,0.270298,54.33,C
cockroachdb,tpcc,28630,50,917753,228931,N/A,0.474954,97.98,C
cockroachdb,tpcc,56148,50,1763153,398690,N/A,1.082534,192.75,C
cockroachdb,tpcc,114125,50,3433898,678735,N/A,2.456519,388.61,C
cockroachdb,tpcc,225014,50,6636934,1177961,N/A,5.440096,777.89,C
cockroachdb,tpcc,450710,50,12973823,2062582,N/A,11.301871,1572.04,C
cockroachdb,tpcc,905587,50,25620662,3687906,N/A,22.24176,3183.16,C
cockroachdb,tpcc,1812223,50,50577782,6730354,N/A,46.325901,6346.24,C
postgres,rubis,1006,50,8463,3218,N/A,0.012356,1.81,C
postgres,rubis,2023,50,15870,5350,N/A,0.014673,2.80,C
postgres,rubis,4021,50,29261,8296,N/A,0.028743,4.44,C
postgres,rubis,8049,50,53847,12123,N/A,0.032116,8.12,C
postgres,rubis,16056,50,102479,18799,N/A,0.07483,15.82,C
postgres,rubis,32179,50,198370,31716,N/A,0.154716,31.31,C
postgres,rubis,64294,50,391158,57174,N/A,0.26731,45.93,C
postgres,rubis,128614,50,776478,108531,N/A,0.48886,83.45,C
postgres,rubis,257149,50,1545510,211002,N/A,1.094267,216.31,C
postgres,rubis,514379,50,3081473,416560,N/A,2.505746,419.71,C
postgres,rubis,1028690,50,6165842,825181,N/A,5.020082,828.66,C
rocksdb,twitter,1000,50,8409,3550,N/A,0.007418,1.84,C
rocksdb,twitter,1999,50,15846,6036,N/A,0.014421,3.31,C
rocksdb,twitter,4013,50,29281,9469,N/A,0.028922,4.98,C
rocksdb,twitter,7942,50,54718,14538,N/A,0.030368,7.88,C
rocksdb,twitter,15856,50,103840,22034,N/A,0.071371,14.54,C
rocksdb,twitter,31371,50,201261,35242,N/A,0.12003,28.29,C
rocksdb,twitter,62149,50,403613,59742,N/A,0.283461,57.18,C
rocksdb,twitter,122733,50,804354,103760,N/A,0.567821,113.50,C
rocksdb,twitter,242459,50,1603636,181419,N/A,1.176453,229.26,C
rocksdb,twitter,481027,50,3176724,319502,N/A,2.558011,459.31,C
rocksdb,twitter,956588,50,6232203,559815,N/A,5.221103,909.89,C
rocksdb,tpcc,1684,50,70417,28980,N/A,0.037585,10.29,C
rocksdb,tpcc,3298,50,131505,49802,N/A,0.065582,14.63,C
rocksdb,tpcc,6975,50,252622,80782,N/A,0.157956,35.30,C
rocksdb,tpcc,12500,50,439647,129604,N/A,0.216548,37.98,C
rocksdb,tpcc,26522,50,878953,223330,N/A,0.466171,94.16,C
rocksdb,tpcc,50249,50,1626739,378330,N/A,0.970429,179.20,C
rocksdb,tpcc,100953,50,3158112,648215,N/A,2.301373,358.60,C
rocksdb,tpcc,200737,50,6078822,1109997,N/A,5.182405,709.84,C
rocksdb,tpcc,397846,50,11775896,1924531,N/A,9.336574,1418.34,C
rocksdb,tpcc,798136,50,23186820,3425154,N/A,18.024328,1926.79,C
rocksdb,tpcc,1596227,50,45686404,6225035,N/A,41.89449,3859.38,C
cockroachdb,twitter,1014,100,8677,3580,N/A,0.011548,1.65,C
cockroachdb,twitter,2011,100,15796,5939,N/A,0.016869,3.36,C
cockroachdb,twitter,4034,100,29573,9633,N/A,0.029395,4.86,C
cockroachdb,twitter,8043,100,54526,14123,N/A,0.042847,5.72,C
cockroachdb,twitter,16106,100,107399,21815,N/A,0.072041,10.88,C
cockroachdb,twitter,32181,100,218122,34971,N/A,0.160332,30.36,C
cockroachdb,twitter,64401,100,461205,59561,N/A,0.265675,44.94,C
cockroachdb,twitter,128689,100,994922,102429,N/A,0.609608,94.80,C
cockroachdb,twitter,256727,100,2120512,180197,N/A,1.380425,201.59,C
cockroachdb,twitter,513190,100,4400570,318671,N/A,3.141248,418.45,C
cockroachdb,twitter,1025246,100,8939662,556197,N/A,7.046424,853.16,C
postgres,twitter,1011,100,8556,3504,N/A,0.007659,1.84,C
postgres,twitter,2017,100,15402,5765,N/A,0.020073,2.80,C
postgres,twitter,3977,100,29193,9446,N/A,0.026799,4.23,C
postgres,twitter,8045,100,55002,14351,N/A,0.038018,7.86,C
postgres,twitter,16035,100,106956,21971,N/A,0.073727,11.12,C
postgres,twitter,32100,100,217777,34869,N/A,0.150077,22.25,C
postgres,twitter,64297,100,461582,59015,N/A,0.312537,65.04,C
postgres,twitter,128850,100,1002036,102134,N/A,0.681749,140.25,C
postgres,twitter,257920,100,2159484,180527,N/A,1.505089,303.80,C
postgres,twitter,516497,100,4545643,318296,N/A,3.492693,643.14,C
postgres,twitter,1033128,100,9255091,556942,N/A,7.319897,1317.58,C
postgres,twitter,1018,50,8679,3676,N/A,0.013372,2.07,C
