database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
postgres,twitter,49059,100,343722,47787,N/A,0.62319,175.25,C
postgres,twitter,58813,100,418988,55249,N/A,0.793178,241.07,C
postgres,twitter,68786,100,495645,62750,N/A,0.982868,305.60,C
postgres,twitter,78579,100,575819,69048,N/A,1.176214,382.07,C
postgres,twitter,88356,100,654410,75567,N/A,1.467807,465.02,C
postgres,twitter,98249,100,738527,82256,N/A,1.743828,555.24,C
postgres,twitter,108107,100,822206,89375,N/A,2.007169,655.37,C
postgres,twitter,117892,100,904253,95547,N/A,2.279233,770.68,C
postgres,twitter,127714,100,987150,101157,N/A,2.573117,877.98,C
postgres,twitter,137595,100,1077529,107830,N/A,2.936279,1004.09,C
rocksdb,twitter,46223,100,293522,48370,N/A,0.49679,128.10,C
rocksdb,twitter,55304,100,350198,55401,N/A,0.615579,161.75,C
rocksdb,twitter,64284,100,409048,62354,N/A,0.730428,207.55,C
rocksdb,twitter,73571,100,472397,69603,N/A,0.897982,252.56,C
rocksdb,twitter,82239,100,525681,75984,N/A,1.025705,289.70,C
rocksdb,twitter,91581,100,588239,82963,N/A,1.199767,344.08,C
rocksdb,twitter,100513,100,642738,88745,N/A,1.420415,388.40,C
rocksdb,twitter,109388,100,703321,95754,N/A,1.582777,447.71,C
rocksdb,twitter,118559,100,769036,101903,N/A,1.822305,514.05,C
rocksdb,twitter,127528,100,826748,107876,N/A,1.990698,570.25,C
cockroachdb,twitter,49022,100,343974,47831,N/A,0.613021,178.70,C
cockroachdb,twitter,58861,100,419299,55179,N/A,0.785395,238.93,C
cockroachdb,twitter,68595,100,492188,61866,N/A,0.950659,306.80,C
cockroachdb,twitter,78586,100,573380,68889,N/A,1.140446,386.96,C
cockroachdb,twitter,88483,100,656512,75973,N/A,1.496345,468.66,C
cockroachdb,twitter,98063,100,729692,82232,N/A,1.679211,549.90,C
cockroachdb,twitter,108403,100,818923,89511,N/A,1.997775,651.42,C
cockroachdb,twitter,117894,100,904409,95737,N/A,2.269975,770.62,C
cockroachdb,twitter,127595,100,986865,102041,N/A,2.55621,881.73,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,2.835289,945.87,C
