database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
cockroachdb,twitter,49022,100,343974,47831,N/A,0.261133,57.77,C
cockroachdb,twitter,58861,100,419299,55179,N/A,0.348031,70.61,C
cockroachdb,twitter,68595,100,492188,61866,N/A,0.403871,85.96,C
cockroachdb,twitter,78586,100,573380,68889,N/A,0.449138,99.70,C
cockroachdb,twitter,88483,100,656512,75973,N/A,0.525949,113.63,C
cockroachdb,twitter,98063,100,729692,82232,N/A,0.613478,125.90,C
cockroachdb,twitter,108403,100,818923,89511,N/A,0.720322,140.96,C
cockroachdb,twitter,117894,100,904409,95737,N/A,0.760217,156.43,C
cockroachdb,twitter,127595,100,986865,102041,N/A,0.831694,170.36,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,0.908406,181.57,C
rocksdb,twitter,46223,100,293522,48370,N/A,0.244988,49.96,C
rocksdb,twitter,55304,100,350198,55401,N/A,0.278571,59.28,C
rocksdb,twitter,64284,100,409048,62354,N/A,0.316777,73.27,C
rocksdb,twitter,73571,100,472397,69603,N/A,0.367025,83.29,C
rocksdb,twitter,82239,100,525681,75984,N/A,0.428008,92.27,C
rocksdb,twitter,91581,100,588239,82963,N/A,0.494265,102.04,C
rocksdb,twitter,100513,100,642738,88745,N/A,0.535688,111.68,C
rocksdb,twitter,109388,100,703321,95754,N/A,0.569076,122.34,C
rocksdb,twitter,118559,100,769036,101903,N/A,0.662845,134.42,C
rocksdb,twitter,127528,100,826748,107876,N/A,0.699326,144.15,C
postgres,twitter,49059,100,343722,47787,N/A,0.261974,59.29,C
postgres,twitter,58813,100,418988,55249,N/A,0.345187,72.06,C
postgres,twitter,68786,100,495645,62750,N/A,0.411949,88.14,C
postgres,twitter,78579,100,575819,69048,N/A,0.485534,101.99,C
postgres,twitter,88356,100,654410,75567,N/A,0.54937,115.54,C
postgres,twitter,98249,100,738527,82256,N/A,0.622964,129.75,C
postgres,twitter,108107,100,822206,89375,N/A,0.701846,144.07,C
postgres,twitter,117892,100,904253,95547,N/A,0.779556,159.16,C
postgres,twitter,127714,100,987150,101157,N/A,0.87412,174.22,C
postgres,twitter,137595,100,1077529,107830,N/A,0.921787,189.84,C
