database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
cockroachdb,twitter,49022,100,343974,47831,N/A,0.237376,49.19,C
cockroachdb,twitter,58861,100,419299,55179,N/A,0.257225,59.02,C
cockroachdb,twitter,68595,100,492188,61866,N/A,0.313677,68.38,C
cockroachdb,twitter,78586,100,573380,68889,N/A,0.384205,79.41,C
cockroachdb,twitter,88483,100,656512,75973,N/A,0.391614,90.52,C
cockroachdb,twitter,98063,100,729692,82232,N/A,0.460964,104.90,C
cockroachdb,twitter,108403,100,818923,89511,N/A,0.562172,115.23,C
cockroachdb,twitter,117894,100,904409,95737,N/A,0.593943,126.82,C
cockroachdb,twitter,127595,100,986865,102041,N/A,0.637178,136.89,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,0.686545,145.48,C
postgres,twitter,49059,100,343722,47787,N/A,0.239794,48.99,C
postgres,twitter,58813,100,418988,55249,N/A,0.277138,58.61,C
postgres,twitter,68786,100,495645,62750,N/A,0.293804,69.59,C
postgres,twitter,78579,100,575819,69048,N/A,0.382813,81.00,C
postgres,twitter,88356,100,654410,75567,N/A,0.441703,91.51,C
postgres,twitter,98249,100,738527,82256,N/A,0.477421,105.51,C
postgres,twitter,108107,100,822206,89375,N/A,0.558704,115.86,C
postgres,twitter,117892,100,904253,95547,N/A,0.6022,126.85,C
postgres,twitter,127714,100,987150,101157,N/A,0.65219,138.27,C
postgres,twitter,137595,100,1077529,107830,N/A,0.727994,150.45,C
rocksdb,twitter,46223,100,293522,48370,N/A,0.20577,42.49,C
rocksdb,twitter,55304,100,350198,55401,N/A,0.23703,49.08,C
rocksdb,twitter,64284,100,409048,62354,N/A,0.283146,58.27,C
rocksdb,twitter,73571,100,472397,69603,N/A,0.333242,67.03,C
rocksdb,twitter,82239,100,525681,75984,N/A,0.366082,74.26,C
rocksdb,twitter,91581,100,588239,82963,N/A,0.393601,85.81,C
rocksdb,twitter,100513,100,642738,88745,N/A,0.412648,92.40,C
rocksdb,twitter,109388,100,703321,95754,N/A,0.480439,99.32,C
rocksdb,twitter,118559,100,769036,101903,N/A,0.515786,109.06,C
rocksdb,twitter,127528,100,826748,107876,N/A,0.572867,117.00,C
