database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
cockroachdb,twitter,49022,100,343974,47831,N/A,0.976629,11.465109,C,C
cockroachdb,twitter,58861,100,419299,55179,N/A,1.253867,16.570084,C,C
cockroachdb,twitter,68595,100,492188,61866,N/A,1.590907,17.394412,C,C
cockroachdb,twitter,78586,100,573380,68889,N/A,1.894662,17.183468,C,C
cockroachdb,twitter,88483,100,656512,75973,N/A,2.252572,38.354906,C,C
cockroachdb,twitter,98063,100,729692,82232,N/A,2.645503,57.453191,C,C
cockroachdb,twitter,108403,100,818923,89511,N/A,3.281159,66.910624,C,C
cockroachdb,twitter,117894,100,904409,95737,N/A,3.439735,44.355931,C,C
cockroachdb,twitter,127595,100,986865,102041,N/A,3.793515,75.878329,C,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,4.42144,75.431266,C,C
postgres,twitter,49059,100,343722,47787,N/A,0.975564,10.945799,C,C
postgres,twitter,58813,100,418988,55249,N/A,1.249786,12.381315,C,C
postgres,twitter,68786,100,495645,62750,N/A,1.589007,14.75671,C,C
postgres,twitter,78579,100,575819,69048,N/A,2.001373,16.559904,C,C
postgres,twitter,88356,100,654410,75567,N/A,2.261649,21.395505,C,C
postgres,twitter,98249,100,738527,82256,N/A,2.66862,26.74459,C,C
postgres,twitter,108107,100,822206,89375,N/A,3.056593,29.44341,C,C
postgres,twitter,117892,100,904253,95547,N/A,3.431468,29.902677,C,C
postgres,twitter,127714,100,987150,101157,N/A,3.857743,36.363185,C,C
postgres,twitter,137595,100,1077529,107830,N/A,4.222337,46.517115,C,C
rocksdb,twitter,46223,100,293522,48370,N/A,0.784268,18.599999,C,C
rocksdb,twitter,55304,100,350198,55401,N/A,1.00557,27.642208,C,C
rocksdb,twitter,64284,100,409048,62354,N/A,1.247616,27.757872,C,C
rocksdb,twitter,73571,100,472397,69603,N/A,1.473912,42.58191,C,C
rocksdb,twitter,82239,100,525681,75984,N/A,1.74201,51.82236,C,C
rocksdb,twitter,91581,100,588239,82963,N/A,1.910262,68.339656,C,C
rocksdb,twitter,100513,100,642738,88745,N/A,2.147599,92.420385,C,C
rocksdb,twitter,109388,100,703321,95754,N/A,2.321567,96.714873,C,C
rocksdb,twitter,118559,100,769036,101903,N/A,2.680304,130.193678,C,C
rocksdb,twitter,127528,100,826748,107876,N/A,3.007447,155.664435,C,C
