database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,twitter,46223,100,293522,48370,N/A,0.248994,18.391389,C,C
rocksdb,twitter,55304,100,350198,55401,N/A,0.290965,27.175961,C,C
rocksdb,twitter,64284,100,409048,62354,N/A,0.349846,30.054766,C,C
rocksdb,twitter,73571,100,472397,69603,N/A,0.38907,44.944253,C,C
rocksdb,twitter,82239,100,525681,75984,N/A,0.445009,54.33978,C,C
rocksdb,twitter,91581,100,588239,82963,N/A,0.483678,73.741409,C,C
rocksdb,twitter,100513,100,642738,88745,N/A,0.525092,93.902769,C,C
rocksdb,twitter,109388,100,703321,95754,N/A,0.598779,96.573362,C,C
rocksdb,twitter,118559,100,769036,101903,N/A,0.65726,122.810097,C,C
rocksdb,twitter,127528,100,826748,107876,N/A,0.703256,145.298818,C,C
postgres,twitter,49059,100,343722,47787,N/A,0.288377,10.917298,C,C
postgres,twitter,58813,100,418988,55249,N/A,0.350147,13.465505,C,C
postgres,twitter,68786,100,495645,62750,N/A,0.402112,13.997801,C,C
postgres,twitter,78579,100,575819,69048,N/A,0.472912,17.280684,C,C
postgres,twitter,88356,100,654410,75567,N/A,0.548466,21.360382,C,C
postgres,twitter,98249,100,738527,82256,N/A,0.604201,25.486049,C,C
postgres,twitter,108107,100,822206,89375,N/A,0.702088,28.264703,C,C
postgres,twitter,117892,100,904253,95547,N/A,0.758433,28.729418,C,C
postgres,twitter,127714,100,987150,101157,N/A,0.844588,36.456151,C,C
postgres,twitter,137595,100,1077529,107830,N/A,0.926036,45.794413,C,C
cockroachdb,twitter,49022,100,343974,47831,N/A,0.279365,11.647663,C,C
cockroachdb,twitter,58861,100,419299,55179,N/A,0.337597,16.281133,C,C
cockroachdb,twitter,68595,100,492188,61866,N/A,0.408217,16.177753,C,C
cockroachdb,twitter,78586,100,573380,68889,N/A,0.460883,16.582006,C,C
cockroachdb,twitter,88483,100,656512,75973,N/A,0.525632,39.190553,C,C
cockroachdb,twitter,98063,100,729692,82232,N/A,0.601586,56.67182,C,C
cockroachdb,twitter,108403,100,818923,89511,N/A,0.706255,68.386899,C,C
cockroachdb,twitter,117894,100,904409,95737,N/A,0.752317,43.180467,C,C
cockroachdb,twitter,127595,100,986865,102041,N/A,0.828831,77.017507,C,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,0.865761,73.889037,C,C
